Species	a	b
Aburria_aburri	1	0	
Acanthidops_bairdi	0	1	
Accipiter_collaris	1	0	
Accipiter_gentilis	0	1	
Accipiter_poliogaster	1	0	
Accipiter_striatuscooperii	0	1	
Acridotheres_cristatellus	1	0	
Acrobatornis_fonsecai	1	0	
Acropternis_orthonyx	1	0	
Adelomyia_melanogenys	1	0	
Aechmophorus_clarkii	0	1	
Aegolius_acadicus	0	1	
Aegolius_harrisii	1	0	
Aegolius_ridgwayi	0	1	
Aeronautes_andecolus	1	0	
Aeronautes_montivagus	1	0	
Agelaioides_badius	1	0	
Agelasticus_cyanopus	1	0	
Agelasticus_thilius	1	0	
Agelasticus_xanthophthalmus	1	0	
Aglaeactis_aliciae	1	0	
Aglaeactis_castelnaudii	1	0	
Aglaeactis_cupripennis	1	0	
Aglaeactis_pamela	1	0	
Aglaiocercus_berlepschi	1	0	
Aglaiocercus_coelestis	1	0	
Aglaiocercus_kingi	1	0	
Agriornis_albicauda	1	0	
Agriornis_lividus	1	0	
Agriornis_micropterus	1	0	
Agriornis_montanus	1	0	
Agriornis_murinus	1	0	
Agriornis_sp	1	0	
Aimophila_notosticta	0	1	
Aimophila_ruficeps	0	1	
Aix_sponsa_x_Anas_platyrhynchos	1	0	
Alectrurus_risora	1	0	
Alectrurus_tricolor	1	0	
Alipiopsitta_xanthops	1	0	
Alopochelidon_fucata	1	0	
Amaurospiza_carrizalensis	1	0	
Amaurospiza_moesta	1	0	
Amazilia_amazilia	1	0	
Amazilia_brevirostris	1	0	
Amazilia_castaneiventris	1	0	
Amazilia_chionogaster	1	0	
Amazilia_cyanifrons	1	0	
Amazilia_fimbriata	1	0	
Amazilia_franciae	1	0	
Amazilia_lactea	1	0	
Amazilia_leucogaster	1	0	
Amazilia_rosenbergi	1	0	
Amazilia_tobaci	1	0	
Amazilia_versicolor	1	0	
Amazilia_viridicauda	1	0	
Amazilia_viridigaster	1	0	
Amazona_aestiva	1	0	
Amazona_amazonica	1	0	
Amazona_barbadensis	1	0	
Amazona_brasiliensis	1	0	
Amazona_dufresniana	1	0	
Amazona_festiva	1	0	
Amazona_kawalli	1	0	
Amazona_mercenarius	1	0	
Amazona_pretrei	1	0	
Amazona_rhodocorytha	1	0	
Amazona_tucumana	1	0	
Amazona_vinacea	1	0	
Amazonetta_brasiliensis	1	0	
Amblyramphus_holosericeus	1	0	
Ammodramus_aurifrons	1	0	
Ammodramus_bairdii	0	1	
Ammodramus_humeralis	1	0	
Ampelioides_tschudii	1	0	
Ampelion_rubrocristatus	1	0	
Ampelion_rufaxilla	1	0	
Amphispiza_bilineata	0	1	
Anabacerthia_amaurotis	1	0	
Anabacerthia_lichtensteini	1	0	
Anabacerthia_ruficaudata	1	0	
Anabacerthia_striaticollis	1	0	
Anabacerthia_variegaticeps	1	1	
Anabazenops_dorsalis	1	0	
Anabazenops_fuscus	1	0	
Anairetes_alpinus	1	0	
Anairetes_fernandezianus	1	0	
Anairetes_flavirostris	1	0	
Anairetes_nigrocristatus	1	0	
Anairetes_parulus	1	0	
Anairetes_reguloides	1	0	
Anas_andium	1	0	
Anas_flavirostris	1	0	
Anas_georgica	1	0	
Anas_platalea	1	0	
Anas_platyrhynchos	0	1	
Anas_puna	1	0	
Anas_sibilatrix	1	0	
Anas_versicolor	1	0	
Anatidae_sp	0	1	
Ancistrops_strigilatus	1	0	
Andigena_cucullata	1	0	
Andigena_hypoglauca	1	0	
Andigena_laminirostris	1	0	
Andigena_nigrirostris	1	0	
Anhima_cornuta	1	0	
Anisognathus_igniventris	1	0	
Anisognathus_lacrymosus	1	0	
Anisognathus_melanogenys	1	0	
Anisognathus_notabilis	1	0	
Anisognathus_somptuosus	1	0	
Anodorhynchus_hyacinthinus	1	0	
Anodorhynchus_leari	1	0	
Anopetia_gounellei	1	0	
Anser_anser	1	1	
AnserChenBranta_sp	1	1	
Anthocephala_floriceps	1	0	
Anthracothorax_viridigula	1	0	
Anthus_antarcticus	1	0	
Anthus_bogotensis	1	0	
Anthus_brachyurus	1	0	
Anthus_chacoensis	1	0	
Anthus_correndera	1	0	
Anthus_furcatus	1	0	
Anthus_hellmayri	1	0	
Anthus_lutescens	1	0	
Anthus_nattereri	1	0	
Anthus_sp	1	0	
Antilophia_bokermanni	1	0	
Antilophia_galeata	1	0	
Antrostomus_arizonae	0	1	
Antrostomus_saturatus	0	1	
Antrostomus_sericocaudatus	1	0	
Anumbius_annumbi	1	0	
Anurolimnas_castaneiceps	1	0	
Anurolimnas_fasciatus	1	0	
Anurolimnas_viridis	1	0	
Aphantochroa_cirrochloris	1	0	
Aphelocoma_californica	0	1	
Aphelocoma_sp	0	1	
Aphelocoma_ultramarina	0	1	
Aphelocoma_unicolor	0	1	
Aphelocoma_wollweberi	0	1	
Aphrastura_spinicauda	1	0	
Aphrodroma_brevirostris	1	0	
Aptenodytes_forsteri	1	0	
Aptenodytes_patagonicus	1	0	
Apus_apus	1	0	
Aquila_chrysaetos	0	1	
Ara_chloropterus	1	0	
Ara_glaucogularis	1	0	
Ara_rubrogenys	1	0	
Ara_severus	1	0	
Ara_sp	1	0	
Aramides_calopterus	1	0	
Aramides_saracura	1	0	
Aramides_ypecaha	1	0	
Aratinga_acuticaudata	1	0	
Aratinga_aurea	1	0	
Aratinga_auricapillus	1	0	
Aratinga_cactorum	1	0	
Aratinga_erythrogenys	1	0	
Aratinga_jandaya	1	0	
Aratinga_leucophthalma	1	0	
Aratinga_maculata	1	0	
Aratinga_mitrata	1	0	
Aratinga_wagleri	1	0	
Aratinga_weddellii	1	0	
Ardea_cocoi	1	0	
Ardea_purpurea	1	0	
Ardea_sp	1	0	
Arremon_abeillei	1	0	
Arremon_assimilis	1	0	
Arremon_basilicus	1	0	
Arremon_castaneiceps	1	0	
Arremon_flavirostris	1	0	
Arremon_franciscanus	1	0	
Arremon_perijanus	1	0	
Arremon_phaeopleurus	1	0	
Arremon_phygas	1	0	
Arremon_schlegeli	1	0	
Arremon_semitorquatus	1	0	
Arremon_sp_torquatus_complex	1	0	
Arremon_taciturnus	1	0	
Arremon_torquatus	1	0	
Arremon_virenticeps	0	1	
Arremonops_tocuyensis	1	0	
Arundinicola_leucocephala	1	0	
Asio_otus	0	1	
Aspatha_gularis	0	1	
Asthenes_anthoides	1	0	
Asthenes_baeri	1	0	
Asthenes_berlepschi	1	0	
Asthenes_coryi	1	0	
Asthenes_dorbignyi	1	0	
Asthenes_flammulata	1	0	
Asthenes_fuliginosa	1	0	
Asthenes_griseomurina	1	0	
Asthenes_harterti	1	0	
Asthenes_helleri	1	0	
Asthenes_heterura	1	0	
Asthenes_hudsoni	1	0	
Asthenes_humilis	1	0	
Asthenes_luizae	1	0	
Asthenes_maculicauda	1	0	
Asthenes_modesta	1	0	
Asthenes_moreirae	1	0	
Asthenes_ottonis	1	0	
Asthenes_palpebralis	1	0	
Asthenes_perijana	1	0	
Asthenes_pudibunda	1	0	
Asthenes_pyrrholeuca	1	0	
Asthenes_sclateri	1	0	
Asthenes_sp	1	0	
Asthenes_urubambensis	1	0	
Asthenes_vilcabambae	1	0	
Asthenes_virgata	1	0	
Asthenes_wyatti	1	0	
Athene_cunicularia	1	0	
Atlapetes_albiceps	1	0	
Atlapetes_albinucha	1	1	
Atlapetes_albofrenatus	1	0	
Atlapetes_canigenis	1	0	
Atlapetes_citrinellus	1	0	
Atlapetes_flaviceps	1	0	
Atlapetes_forbesi	1	0	
Atlapetes_fulviceps	1	0	
Atlapetes_fuscoolivaceus	1	0	
Atlapetes_latinuchus	1	0	
Atlapetes_leucopis	1	0	
Atlapetes_leucopterus	1	0	
Atlapetes_melanocephalus	1	0	
Atlapetes_melanolaemus	1	0	
Atlapetes_melanopsis	1	0	
Atlapetes_nationi	1	0	
Atlapetes_pallidiceps	1	0	
Atlapetes_pallidinucha	1	0	
Atlapetes_personatus	1	0	
Atlapetes_rufigenis	1	0	
Atlapetes_rufinucha	1	0	
Atlapetes_schistaceus	1	0	
Atlapetes_seebohmi	1	0	
Atlapetes_semirufus	1	0	
Atlapetes_sp	1	0	
Atlapetes_tricolor	1	0	
Attagis_gayi	1	0	
Attagis_malouinus	1	0	
Atthis_ellioti	0	1	
Atticora_fasciata	1	0	
Atticora_pileata	0	1	
Attila_bolivianus	1	0	
Attila_cinnamomeus	1	0	
Attila_citriniventris	1	0	
Attila_phoenicurus	1	0	
Attila_rufus	1	0	
Attila_torridus	1	0	
Augastes_lumachella	1	0	
Augastes_scutatus	1	0	
Aulacorhynchus_coeruleicinctis	1	0	
Aulacorhynchus_derbianus	1	0	
Aulacorhynchus_haematopygus	1	0	
Aulacorhynchus_huallagae	1	0	
Aulacorhynchus_sulcatus	1	0	
Aulacorhynchus_whitelianus	1	0	
Auriparus_flaviceps	0	1	
Automolus_infuscatus	1	0	
Automolus_lammi	1	0	
Automolus_leucophthalmus	1	0	
Automolus_melanopezus	1	0	
Automolus_paraensis	1	0	
Automolus_rubiginosus	1	1	
Automolus_rufipectus	1	0	
Automolus_rufipileatus	1	0	
Avocettula_recurvirostris	1	0	
Bangsia_aureocincta	1	0	
Bangsia_edwardsi	1	0	
Bangsia_melanochlamys	1	0	
Bangsia_rothschildi	1	0	
Baryphthengus_ruficapillus	1	0	
Basileuterus_griseiceps	1	0	
Basileuterus_melanogenys	0	1	
Basileuterus_sp	1	1	
Basileuterus_trifasciatus	1	0	
Basileuterus_tristriatus	1	1	
Batara_cinerea	1	0	
Berlepschia_rikeri	1	0	
Biatas_nigropectus	1	0	
Boissonneaua_flavescens	1	0	
Boissonneaua_jardini	1	0	
Boissonneaua_matthewsii	1	0	
Bolborhynchus_ferrugineifrons	1	0	
Bolborhynchus_lineola	1	1	
Bolborhynchus_orbygnesius	1	0	
Brachygalba_albogularis	1	0	
Brachygalba_goeringi	1	0	
Brachygalba_lugubris	1	0	
Brotogeris_chiriri	1	0	
Brotogeris_chrysoptera	1	0	
Brotogeris_cyanoptera	1	0	
Brotogeris_pyrrhoptera	1	0	
Brotogeris_sanctithomae	1	0	
Brotogeris_tirica	1	0	
Bubo_virginianus	1	1	
Bucco_capensis	1	0	
Bucco_macrodactylus	1	0	
Bucco_tamatia	1	0	
Burhinus_superciliaris	1	0	
Buteo_albigula	1	0	
Buteo_galapagoensis	1	0	
Buteo_regalis	0	1	
Buteo_ventralis	1	0	
Buteogallus_aequinoctialis	1	0	
Buteogallus_coronatus	1	0	
Buteogallus_lacernulatus	1	0	
Buteogallus_meridionalis	1	0	
Buteogallus_schistaceus	1	0	
Buthraupis_montana	1	0	
Buthraupis_wetmorei	1	0	
Butorides_striata	1	0	
Cacicus_chrysonotus	1	0	
Cacicus_chrysopterus	1	0	
Cacicus_haemorrhous	1	0	
Cacicus_sclateri	1	0	
Cacicus_solitarius	1	0	
Calcarius_ornatus	0	1	
Calidris_bairdii	1	0	
Calidris_minuta	1	0	
Callipepla_californica	1	0	
Callipepla_squamata	0	1	
Calliphlox_amethystina	1	0	
Calliphlox_bryantae	0	1	
Calliphlox_mitchellii	1	0	
Callonetta_leucophrys	1	0	
Calochaetes_coccineus	1	0	
Calypte_anna	0	1	
Calyptophilus_frugivorus	0	1	
Camarhynchus_heliobates	1	0	
Camarhynchus_pallidus	1	0	
Camarhynchus_parvulus	1	0	
Camarhynchus_pauper	1	0	
Camarhynchus_psittacula	1	0	
Campephilus_gayaquilensis	1	0	
Campephilus_leucopogon	1	0	
Campephilus_magellanicus	1	0	
Campephilus_pollens	1	0	
Campephilus_robustus	1	0	
Campephilus_rubricollis	1	0	
Campylopterus_ensipennis	1	0	
Campylopterus_falcatus	1	0	
Campylopterus_hyperythrus	1	0	
Campylopterus_largipennis	1	0	
Campylopterus_phainopeplus	1	0	
Campylopterus_rufus	0	1	
Campylopterus_villaviscensio	1	0	
Campylorhamphus_falcularius	1	0	
Campylorhamphus_procurvoides	1	0	
Campylorhamphus_trochilirostris	1	0	
Campylorhynchus_brunneicapillus	0	1	
Campylorhynchus_fasciatus	1	0	
Campylorhynchus_griseus	1	0	
Campylorhynchus_jocosus	0	1	
Campylorhynchus_megalopterus	0	1	
Campylorhynchus_nuchalis	1	0	
Campylorhynchus_turdinus	1	0	
Cantorchilus_guarayanus	1	0	
Cantorchilus_longirostris	1	0	
Cantorchilus_superciliaris	1	0	
Capito_auratus	1	0	
Capito_aurovirens	1	0	
Capito_brunneipectus	1	0	
Capito_dayi	1	0	
Capito_hypoleucus	1	0	
Capito_niger	1	0	
Capito_quinticolor	1	0	
Capito_squamatus	1	0	
Capito_wallacei	1	0	
Capitonidae_sp	1	0	
Caracara_cheriwayplancus	1	0	
Caracara_plancus	1	0	
Cardellina_rubra	0	1	
Cardellina_rubrifrons	0	1	
Cardellina_versicolor	0	1	
Cardinalis_phoeniceus	1	0	
Carduelis_carduelis	1	0	
Carduelis_sp	1	0	
Cariama_cristata	1	0	
Carpornis_cucullata	1	0	
Carpornis_melanocephala	1	0	
Caryothraustes_canadensis	1	0	
Casiornis_fuscus	1	0	
Casiornis_rufus	1	0	
Catamblyrhynchus_diadema	1	0	
Catamenia_analis	1	0	
Catamenia_homochroa	1	0	
Catamenia_inornata	1	0	
Cathartes_melambrotus	1	0	
Catharus_dryas	1	1	
Catharus_frantzii	0	1	
Catharus_gracilirostris	0	1	
Celeus_elegans	1	0	
Celeus_flavescens	1	0	
Celeus_flavus	1	0	
Celeus_grammicus	1	0	
Celeus_lugubris	1	0	
Celeus_obrieni	1	0	
Celeus_spectabilis	1	0	
Celeus_torquatus	1	0	
Celeus_undatus	1	0	
Cephalopterus_ornatus	1	0	
Cephalopterus_penduliger	1	0	
Ceratopipra_chloromeros	1	0	
Ceratopipra_cornuta	1	0	
Ceratopipra_erythrocephala	1	0	
Ceratopipra_rubrocapilla	1	0	
Cercibis_oxycerca	1	0	
Cercomacra_brasiliana	1	0	
Cercomacra_carbonaria	1	0	
Cercomacra_cinerascens	1	0	
Cercomacra_ferdinandi	1	0	
Cercomacra_laeta	1	0	
Cercomacra_manu	1	0	
Cercomacra_melanaria	1	0	
Cercomacra_nigrescens	1	0	
Cercomacra_parkeri	1	0	
Cercomacra_serva	1	0	
Certhia_americana	0	1	
Certhiasomus_stictolaemus	1	0	
Certhiaxis_cinnamomeus	1	0	
Certhiaxis_mustelinus	1	0	
Certhidea_fusca	1	0	
Certhidea_olivacea	1	0	
Chaetocercus_astreans	1	0	
Chaetocercus_berlepschi	1	0	
Chaetocercus_bombus	1	0	
Chaetocercus_heliodor	1	0	
Chaetocercus_jourdanii	1	0	
Chaetocercus_mulsant	1	0	
Chaetocercus_sp	1	0	
Chaetura_chapmani	1	0	
Chaetura_egregia	1	0	
Chaetura_meridionalis	1	0	
Chaetura_viridipennis	1	0	
Chalcostigma_herrani	1	0	
Chalcostigma_heteropogon	1	0	
Chalcostigma_olivaceum	1	0	
Chalcostigma_ruficeps	1	0	
Chalcostigma_stanleyi	1	0	
Chamaepetes_goudotii	1	0	
Chamaepetes_unicolor	0	1	
Chamaeza_campanisona	1	0	
Chamaeza_meruloides	1	0	
Chamaeza_mollissima	1	0	
Chamaeza_nobilis	1	0	
Chamaeza_ruficauda	1	0	
Chamaeza_turdina	1	0	
Charadrius_alexandrinus	1	0	
Charadrius_alticola	1	0	
Charadrius_bicinctus	1	0	
Charadrius_falklandicus	1	0	
Charadrius_modestus	1	0	
Charadrius_placidus	1	0	
Charitospiza_eucosma	1	0	
Chauna_chavaria	1	0	
Chauna_torquata	1	0	
Chelidoptera_tenebrosa	1	0	
Chionis_albus	1	0	
Chiroxiphia_boliviana	1	0	
Chiroxiphia_caudata	1	0	
Chiroxiphia_pareola	1	0	
Chloephaga_hybrida	1	0	
Chloephaga_melanoptera	1	0	
Chloephaga_picta	1	0	
Chloephaga_poliocephala	1	0	
Chloephaga_rubidiceps	1	0	
Chlorestes_notata	1	0	
Chloris_chloris	1	0	
Chlorochrysa_calliparaea	1	0	
Chlorochrysa_nitidissima	1	0	
Chlorochrysa_phoenicotis	1	0	
Chlorophonia_callophrys	0	1	
Chlorophonia_cyanea	1	0	
Chlorophonia_flavirostris	1	0	
Chlorophonia_pyrrhophrys	1	0	
Chlorornis_riefferii	1	0	
Chlorospingus_flavigularis	1	0	
Chlorospingus_flavovirens	1	0	
Chlorospingus_parvirostris	1	0	
Chlorospingus_pileatus	0	1	
Chlorospingus_semifuscus	1	0	
Chlorospingus_sp	1	0	
Chlorostilbon_alice	1	0	
Chlorostilbon_gibsoni	1	0	
Chlorostilbon_lucidus	1	0	
Chlorostilbon_melanorhynchus	1	0	
Chlorostilbon_mellisugus	1	0	
Chlorostilbon_poortmani	1	0	
Chlorostilbon_russatus	1	0	
Chlorostilbon_stenurus	1	0	
Chlorothraupis_stolzmanni	1	0	
Chordeiles_nacunda	1	0	
Chordeiles_pusillus	1	0	
Chordeiles_rupestris	1	0	
Chroicocephalus_cirrocephalus	1	0	
Chroicocephalus_maculipennis	1	0	
Chroicocephalus_serranus	1	0	
Chrysolampis_mosquitus	1	0	
Chrysomus_icterocephalus	1	0	
Chrysomus_ruficapillus	1	0	
Chrysothlypis_salmoni	1	0	
Chrysuronia_oenone	1	0	
Chunga_burmeisteri	1	0	
Ciccaba_[undescribed_form]	1	0	
Ciccaba_albitarsis	1	0	
Ciccaba_huhula	1	0	
Ciccaba_sp	1	0	
Cichlocolaptes_leucophrus	1	0	
Cichlopsis_leucogenys	1	0	
Ciconia_maguari	1	0	
Cinclodes_albidiventris	1	0	
Cinclodes_albidiventrisalbiventrisfuscus	1	0	
Cinclodes_albiventris	1	0	
Cinclodes_antarcticus	1	0	
Cinclodes_aricomae	1	0	
Cinclodes_atacamensis	1	0	
Cinclodes_comechingonus	1	0	
Cinclodes_excelsior	1	0	
Cinclodes_fuscus	1	0	
Cinclodes_nigrofumosus	1	0	
Cinclodes_olrogi	1	0	
Cinclodes_oustaleti	1	0	
Cinclodes_pabsti	1	0	
Cinclodes_palliatus	1	0	
Cinclodes_patagonicus	1	0	
Cinclodes_sp	1	0	
Cinclodes_taczanowskii	1	0	
Cinclus_leucocephalus	1	0	
Cinclus_schulzi	1	0	
Cinnycerthia_fulva	1	0	
Cinnycerthia_olivascens	1	0	
Cinnycerthia_peruana	1	0	
Cinnycerthia_unirufa	1	0	
Circaetus_pectoralis	1	0	
Circus_buffoni	1	0	
Circus_cinereus	1	0	
Cissopis_leverianus	1	0	
Cistothorus_apolinari	1	0	
Cistothorus_meridae	1	0	
Cistothorus_platensis	1	1	
Claravis_geoffroyi	1	0	
Clibanornis_dendrocolaptoides	1	0	
Clypicterus_oseryi	1	0	
Clytoctantes_alixii	1	0	
Clytoctantes_atrogularis	1	0	
Clytolaema_rubricauda	1	0	
Cnemarchus_erythropygius	1	0	
Cnemathraupis_aureodorsalis	1	0	
Cnemathraupis_eximia	1	0	
Cnemoscopus_rubrirostris	1	0	
Cnemotriccus_fuscatus	1	0	
Cnipodectes_superrufus	1	0	
Coccothraustes_vespertinus	0	1	
Coccycua_cinerea	1	0	
Coccycua_minuta	1	0	
Coccycua_pumila	1	0	
Coccyzus_euleri	1	0	
Coccyzus_lansbergi	1	0	
Coccyzus_melacoryphus	1	0	
Coeligena_bonapartei	1	0	
Coeligena_coeligena	1	0	
Coeligena_helianthea	1	0	
Coeligena_iris	1	0	
Coeligena_lutetiae	1	0	
Coeligena_orina	1	0	
Coeligena_phalerata	1	0	
Coeligena_prunellei	1	0	
Coeligena_torquata	1	0	
Coeligena_violifer	1	0	
Coeligena_wilsoni	1	0	
Colaptes_atricollis	1	0	
Colaptes_campestris	1	0	
Colaptes_melanochloros	1	0	
Colaptes_pitius	1	0	
Colaptes_punctigula	1	0	
Colaptes_rivolii	1	0	
Colaptes_rupicola	1	0	
Colibri_coruscans	1	0	
Colibri_serrirostris	1	0	
Colibri_thalassinus	1	1	
Colorhamphus_parvirostris	1	0	
Columbina_buckleyi	1	0	
Columbina_cruziana	1	0	
Columbina_picui	1	0	
Columbina_squammata	1	0	
Compsospiza_baeri	1	0	
Compsospiza_garleppi	1	0	
Compsothraupis_loricata	1	0	
Conioptilon_mcilhennyi	1	0	
Conirostrum_albifrons	1	0	
Conirostrum_bicolor	1	0	
Conirostrum_cinereum	1	0	
Conirostrum_ferrugineiventre	1	0	
Conirostrum_margaritae	1	0	
Conirostrum_rufum	1	0	
Conirostrum_sitticolor	1	0	
Conirostrum_speciosum	1	0	
Conirostrum_tamarugense	1	0	
Conopias_cinchoneti	1	0	
Conopias_parvus	1	0	
Conopias_trivirgatus	1	0	
Conopophaga_ardesiaca	1	0	
Conopophaga_aurita	1	0	
Conopophaga_castaneiceps	1	0	
Conopophaga_lineata	1	0	
