datapoints	polygons	polygonedges	species	graphs	seconds
10	10	4	1	no	0.254
100	10	4	1	no	0.098
1000	10	4	1	no	0.121
10000	10	4	1	no	0.344
100000	10	4	1	no	3.475
1000000	10	4	1	no	25.084
10000000	10	4	1	no	307.366
10	100	4	1	no	1.263
100	100	4	1	no	0.94
1000	100	4	1	no	1.008
10000	100	4	1	no	1.578
100000	100	4	1	no	7.657
1000000	100	4	1	no	77.734
10000000	100	4	1	no	940.647
10	1000	4	1	no	6.282
100	1000	4	1	no	5.593
1000	1000	4	1	no	33.371
10000	1000	4	1	no	38.662
100000	1000	4	1	no	89.107
1000000	1000	4	1	no	663.982
10000000	1000	4	1	no	8018.475
10	10000	4	1	no	448.923
100	10000	4	1	no	473.006
1000	10000	4	1	no	530.424
10000	10000	4	1	no	3566.969
100000	10000	4	1	no	4164.544
1000000	10000	4	1	no	10289.286
10000000	10000	4	1	no	72887.953
10	10	4	1	yes	1.882
100	10	4	1	yes	2.057
1000	10	4	1	yes	1.817
10000	10	4	1	yes	2.488
100000	10	4	1	yes	13.215
1000000	10	4	1	yes	95.919
10000000	10	4	1	yes	971.753
10	100	4	1	yes	9.023
100	100	4	1	yes	9.583
1000	100	4	1	yes	9.518
10000	100	4	1	yes	12.306
100000	100	4	1	yes	34.243
1000000	100	4	1	yes	257.369
10000000	100	4	1	yes	2578.918
10	1000	4	1	yes	113.2
100	1000	4	1	yes	110.496
1000	1000	4	1	yes	197.229
10000	1000	4	1	yes	214.81
100000	1000	4	1	yes	387.344
1000000	1000	4	1	yes	2220.817
10000000	1000	4	1	yes	18764.045
10	10000	4	1	yes	3044.874
100	10000	4	1	yes	3131.753
1000	10000	4	1	yes	3179.342
10000	10000	4	1	yes	13561.986
100000	10000	4	1	yes	15230.736
1000000	10000	4	1	yes	35939.905
10000000	10000	4	1	yes	102572.709
10	1	4	1	yes	1
100	1	4	1	yes	2
1000	1	4	1	yes	3
10000	1	4	1	yes	4
100000	1	4	1	yes	5
1000000	1	4	1	yes	6
10000000	1	4	1	yes	7
10	1	40	1	yes	7
100	1	40	1	yes	8
1000	1	40	1	yes	9
10000	1	40	1	yes	10
100000	1	40	1	yes	11
1000000	1	40	1	yes	12
10000000	1	40	1	yes	13
10	1	4	1	no	1
100	1	4	1	no	2
1000	1	4	1	no	3
10000	1	4	1	no	4
100000	1	4	1	no	5
1000000	1	4	1	no	6
10	1	40	1	no	7
100	1	40	1	no	8
1000	1	40	1	no	9
10000	1	40	1	no	10
100000	1	40	1	no	11
1000000	1	40	1	no	12
10000000	1	40	1	no	13
