"identifier"	"homepolygon"
"1"	"Ivesia aperta"	"Great Basin"
"2"	"Ivesia aperta"	"Great Basin"
"3"	"Ivesia aperta"	"Sierra Nevada"
"4"	"Ivesia aperta"	"Great Basin"
"5"	"Ivesia aperta"	"Great Basin"
"6"	"Ivesia aperta"	"Great Basin"
"7"	"Ivesia aperta"	"Great Basin"
"8"	"Ivesia aperta"	"Great Basin"
"9"	"Ivesia aperta"	"Great Basin"
"10"	"Ivesia aperta"	"Great Basin"
"11"	"Ivesia aperta"	"Great Basin"
"12"	"Ivesia aperta"	"Great Basin"
"13"	"Ivesia aperta"	"Great Basin"
"14"	"Ivesia aperta"	"Great Basin"
"15"	"Ivesia aperta"	"Great Basin"
"16"	"Ivesia aperta"	"Great Basin"
"17"	"Ivesia aperta"	"Great Basin"
"18"	"Ivesia aperta"	"Great Basin"
"19"	"Ivesia aperta"	"Great Basin"
"20"	"Ivesia aperta"	"Great Basin"
"21"	"Ivesia aperta"	"Great Basin"
"22"	"Ivesia aperta"	"Great Basin"
"23"	"Ivesia aperta"	"Great Basin"
"24"	"Ivesia aperta"	"Great Basin"
"25"	"Ivesia aperta"	"Great Basin"
"26"	"Ivesia aperta"	"Great Basin"
"27"	"Ivesia argyrocoma"	"Mojave Desert"
"28"	"Ivesia argyrocoma"	"Mojave Desert"
"29"	"Ivesia argyrocoma"	"Mojave Desert"
"30"	"Ivesia argyrocoma"	"Mojave Desert"
"31"	"Ivesia argyrocoma"	"Mojave Desert"
"32"	"Ivesia argyrocoma"	"Mojave Desert"
"33"	"Ivesia argyrocoma"	"Mojave Desert"
"34"	"Ivesia argyrocoma"	"Mojave Desert"
"35"	"Ivesia argyrocoma"	"Mojave Desert"
"36"	"Ivesia argyrocoma"	"Mojave Desert"
"37"	"Ivesia argyrocoma"	"Mojave Desert"
"38"	"Ivesia argyrocoma"	"Mojave Desert"
"39"	"Ivesia argyrocoma"	"Mojave Desert"
"40"	"Ivesia argyrocoma"	"Mojave Desert"
"41"	"Ivesia argyrocoma"	"Mojave Desert"
"42"	"Ivesia argyrocoma"	"Mojave Desert"
"43"	"Ivesia argyrocoma"	"Mojave Desert"
"44"	"Ivesia argyrocoma"	"Mojave Desert"
"45"	"Ivesia argyrocoma"	"Mojave Desert"
"46"	"Ivesia argyrocoma"	"Mojave Desert"
