identifier	XCOOR	YCOOR
Ivesia aperta	-120.4	39.82
Ivesia aperta	-120.39	39.81
Ivesia aperta	-120.37	39.53
Ivesia aperta	-120.36	39.63
Ivesia aperta	-120.32	39.69
Ivesia aperta	-120.32	39.69
Ivesia aperta	-120.32	39.66
Ivesia aperta	-120.32	39.69
Ivesia aperta	-120.31	39.65
Ivesia aperta	-120.3	39.65
Ivesia aperta	-120.29	39.68
Ivesia aperta	-120.27	39.65
Ivesia aperta	-120.27	39.68
Ivesia aperta	-120.25	39.66
Ivesia aperta	-120.23	40.04
Ivesia aperta	-120.22	40.03
Ivesia aperta	-120.18	39.92
Ivesia aperta	-120.1	39.65
Ivesia aperta	-120.09	39.66
Ivesia aperta	-120.08	39.59
Ivesia aperta	-120.06	39.57
Ivesia aperta	-120.05	39.56
Ivesia aperta	-120.04	39.57
Ivesia aperta	-120.03	39.57
Ivesia aperta	-119.69	40.63
Ivesia aperta	-119.54	39.45
Ivesia argyrocoma	-117.65	34.3
Ivesia argyrocoma	-117.21	34.24
Ivesia argyrocoma	-117.13	34.28
Ivesia argyrocoma	-117.08	34.02
Ivesia argyrocoma	-116.94	34.28
Ivesia argyrocoma	-116.93	34.3
Ivesia argyrocoma	-116.93	34.27
Ivesia argyrocoma	-116.93	34.24
Ivesia argyrocoma	-116.93	34.26
Ivesia argyrocoma	-116.93	34.31
Ivesia argyrocoma	-116.92	34.3
Ivesia argyrocoma	-116.88	34.25
Ivesia argyrocoma	-116.87	34.3
Ivesia argyrocoma	-116.87	34.26
Ivesia argyrocoma	-116.86	34.3
Ivesia argyrocoma	-116.86	34.24
Ivesia argyrocoma	-116.85	34.24
Ivesia argyrocoma	-116.85	34.3
Ivesia argyrocoma	-116.85	34.31
Ivesia argyrocoma	-116.82	34.23
Ivesia argyrocoma	-116.82	34.3
Ivesia argyrocoma	-116.8	34.25
Ivesia argyrocoma	-116.71	34.21
Ivesia argyrocoma	-116.24	34.2
Ivesia argyrocoma	-116.19	34.83
Ivesia arizonica	-117.63	37.79
Ivesia arizonica	-116.45	38.05
Ivesia arizonica	-115.02	36.2
Ivesia arizonica	-114.88	37.64
Ivesia arizonica	-113.75	35.71
Ivesia arizonica	-113.52	37.28
Ivesia arizonica	-112.36	36.38
Ivesia arizonica	-112.14	36.06
Ivesia arizonica	-111.93	36.13
Ivesia arizonica	-111.77	35
Ivesia arizonica	-111.77	35.84
Ivesia baileyi	-120.58	40.65
Ivesia baileyi	-120.35	39.93
Ivesia baileyi	-120.29	41.55
Ivesia baileyi	-120.27	41.56
Ivesia baileyi	-120.25	41.59
Ivesia baileyi	-120.19	39.88
Ivesia baileyi	-119.21	43.78
Ivesia baileyi	-119.14	43.21
Ivesia baileyi	-119.12	43.42
Ivesia baileyi	-119.11	43.42
Ivesia baileyi	-119.05	43.62
Ivesia baileyi	-119	42.12
Ivesia baileyi	-119	43.66
Ivesia baileyi	-118.97	43.07
Ivesia baileyi	-118.81	43.67
Ivesia baileyi	-118.76	42.21
Ivesia baileyi	-118.6	42.65
Ivesia baileyi	-118.59	43.26
Ivesia baileyi	-118.59	42.7
Ivesia baileyi	-118.59	42.61
Ivesia baileyi	-118.58	42.66
Ivesia baileyi	-118.57	42.68
Ivesia baileyi	-118.57	42.63
Ivesia baileyi	-118.4	40.45
Ivesia baileyi	-118.12	41.41
Ivesia baileyi	-117.67	43.14
Ivesia baileyi	-117.63	43.21
Ivesia baileyi	-117.63	37.79
Ivesia baileyi	-117.39	42.08
Ivesia baileyi	-117.34	42.44
Ivesia baileyi	-117.32	42.14
Ivesia baileyi	-117.17	42.2
Ivesia baileyi	-117.16	42.54
Ivesia baileyi	-117.16	42.55
Ivesia baileyi	-117.03	39.95
Ivesia baileyi	-116.83	38
Ivesia baileyi	-116.78	42.92
Ivesia baileyi	-116.77	42.48
Ivesia baileyi	-116.7	42.5
Ivesia baileyi	-116.5	38.37
Ivesia baileyi	-116.45	38.05
Ivesia baileyi	-116.27	39.98
Ivesia baileyi	-116.17	42.56
Ivesia baileyi	-115.54	42.21
Ivesia baileyi	-115.47	43.34
Ivesia baileyi	-115.35	41.13
Ivesia baileyi	-114.96	42.54
Ivesia baileyi	-114.9	39.44
Ivesia baileyi	-114.66	42.35
Ivesia baileyi	-114.34	40.11
Ivesia baileyi	-113.18	40.45
Ivesia cryptocaulis	-115.023	36.2018
Ivesia cryptocaulis	-115.68	36.27
Ivesia jaegeri	-116.19	34.83
Ivesia jaegeri	-115.02	36.2
Ivesia jaegeri	-115.59	35.54
Ivesia jaegeri	-115.57	35.53
Ivesia jaegeri	-115.52	35.52
Ivesia jaegeri	-115.63	36.25
Ivesia jaegeri	-115.65	35.25
Ivesia jaegeri	-115.56	36.38
Ivesia jaegeri	-115.43	36.28
Ivesia jaegeri	-115.6	36.31
Ivesia jaegeri	-115.66	36.26
Ivesia jaegeri	-114.95	35.98
Ivesia jaegeri	-115.26	36.15
Ivesia kingii	-119.69	40.63
Ivesia kingii	-119.19	39.01
Ivesia kingii	-118.87	37.91
Ivesia kingii	-118.8	37.64
Ivesia kingii	-118.78	37.71
Ivesia kingii	-118.61	37.94
Ivesia kingii	-118.6	37.93
Ivesia kingii	-118.43	38.54
Ivesia kingii	-117.63	37.79
Ivesia kingii	-117.48	36.59
Ivesia kingii	-117.03	39.95
Ivesia kingii	-116.45	38.05
Ivesia kingii	-116.36	39.55
Ivesia kingii	-116.27	39.98
Ivesia kingii	-115.35	41.13
Ivesia kingii	-115.28	40.58
Ivesia kingii	-114.9	39.44
Ivesia kingii	-113.28	37.86
Ivesia kingii	-113.23	38.34
Ivesia kingii	-113.18	40.45
Ivesia kingii	-112.13	38.34
Ivesia kingii	-111.8	38.75
Ivesia kingii	-111.58	39.37
Ivesia kingii	-111.44	37.87
Ivesia longibracteata	-122.04	40.76
Ivesia longibracteata	-122.34	41.19
Ivesia longibracteata	-122.33	41.17
Ivesia longibracteata	-121.98	40.98
Ivesia longibracteata	-122.28	41.15
Ivesia lycopodioides	-120.53	38.78
Ivesia lycopodioides	-119.9	38.86
Ivesia lycopodioides	-119.88	38.86
Ivesia lycopodioides	-119.8	38.58
Ivesia lycopodioides	-119.69	40.63
Ivesia lycopodioides	-119.45	37.55
Ivesia lycopodioides	-119.43	37.67
Ivesia lycopodioides	-119.38	37.88
