SPECIES	XCOOR	YCOOR
Species_1	-40.0595628	-19.3797814
Species_1	-40.2144809	-18.4084699
Species_1	-40.2144809	-18.4084699
Species_1	-40.3833333	-19.8833333
Species_1	-40.5967213	-19.9281421
Species_1	-41.7849727	-22.3642077
Species_1	-42.3833333	-20.7166667
Species_1	-42.4972678	-22.9275956
Species_1	-42.4972678	-22.9275956
Species_1	-42.5221311	-20.6639344
Species_1	-43.5336066	-22.2811475
Species_1	-43.939071	-19.9013661
Species_1	-46.368306	-20.2360656
Species_1	-46.7008197	-22.6087432
Species_1	-46.7259563	-23.6161202
Species_1	-46.8221311	-22.4322404
Species_1	-47.0653005	-22.9038251
Species_1	-47.0653005	-22.9038251
Species_1	-47.0653005	-22.9038251
Species_1	-47.0653005	-22.9038251
Species_1	-47.146694	-22.2656284
Species_1	-47.9322404	-25.0185792
Species_1	-48.2666667	-23.0833333
Species_1	-48.3128415	-25.2907104
Species_1	-48.5087432	-25.515847
Species_1	-48.5087432	-25.515847
Species_1	-48.5087432	-25.515847
Species_1	-48.7117486	-25.4275956
Species_1	-48.7117486	-25.4275956
Species_1	-49.0516393	-25.2967213
Species_1	-49.1131148	-25.197541
Species_1	-49.2606557	-25.2907104
Species_1	-49.2653005	-24.8193989
Species_1	-49.2653005	-26.1871585
Species_1	-49.3849727	-23.1901639
Species_1	-49.4674863	-24.1032787
Species_1	-49.4674863	-24.1032787
Species_1	-49.5	-22.25
Species_1	-49.6357923	-26.2377049
Species_1	-50.360929	-23.1005464
Species_1	-50.4043716	-22.3265027
Species_1	-50.4117486	-24.504918
Species_1	-50.5213115	-23.1532787
Species_1	-50.6459016	-23.4931694
Species_1	-52.1748634	-22.9038251
Species_1	-52.6057377	-23.654918
Species_1	-52.6057377	-23.654918
Species_1	-52.6945355	-25.1519126
Species_1	-52.7838798	-23.0953552
Species_1	-52.7838798	-23.0953552
Species_1	-52.8715847	-23.8680328
Species_1	-53.0601093	-22.5218579
Species_1	-53.3185792	-23.7576503
Species_1	-53.3185792	-23.7576503
Species_1	-53.4989071	-23.7265027
Species_1	-53.5784153	-23.3956284
Species_1	-53.6284153	-23.779235
Species_1	-56.4808743	-21.1185792
Species_1	-56.7210383	-20.5095628
Species_1	-57.657377	-18.9666667
Species_1	-40.097541	-19.1923497
Species_1	-40.097541	-19.1923497
Species_1	-40.097541	-19.1923497
Species_1	-40.4904372	-20.2005464
Species_1	-40.5967213	-19.9314208
Species_1	-40.6576503	-19.7371585
Species_1	-41.1103825	-21.4704918
Species_1	-41.9333333	-16.7333333
Species_1	-42.4961749	-22.9286885
Species_1	-43.4169399	-19.9620219
Species_1	-43.7150273	-19.1655738
Species_1	-46.0494536	-20.6120219
Species_1	-46.5177596	-22.5937158
Species_1	-47.0653005	-22.8510929
Species_1	-47.0653005	-22.8510929
Species_1	-47.1355191	-23.5275956
Species_1	-47.6095902	-22.6260656
Species_1	-48.3919399	-24.6464208
Species_1	-49.0639344	-22.3095628
Species_1	-49.5	-22.25
Species_1	-49.5	-22.25
Species_1	-51.5666667	-20.7833333
Species_1	-52.726776	-22.1669399
Species_1	-55.2226776	-22.8510929
Species_1	-55.2226776	-23.0898907
Species_1	-56.7248634	-20.5136612
Species_2	-43.3286885	-21.6442623
Species_2	-43.45	-19.8494536
Species_3	-41.8333333	-13.2666667
Species_4	-41.7833333	-13.1
