"identifier"	"Species_1"	"Species_10"	"Species_11"	"Species_12"	"Species_13"	"Species_14"	"Species_15"	"Species_16"	"Species_17"	"Species_18"	"Species_19"	"Species_2"	"Species_20"	"Species_21"	"Species_22"	"Species_23"	"Species_24"	"Species_3"	"Species_4"	"Species_5"	"Species_6"	"Species_7"	"Species_8"	"Species_9"
"1"	"Species_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"Species_10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"Species_11"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"4"	"Species_12"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"5"	"Species_13"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"6"	"Species_14"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"7"	"Species_15"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"8"	"Species_16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Species_17"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"10"	"Species_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Species_19"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"12"	"Species_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"Species_20"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"14"	"Species_21"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"15"	"Species_22"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"16"	"Species_23"	0	0	50.1742160278746	49.8257839721254	49.8257839721254	50.1742160278746	49.8257839721254	0	49.8257839721254	0	50.1742160278746	0	50.1742160278746	50.1742160278746	49.8257839721254	100	100	50.1742160278746	50.1742160278746	0	50.1742160278746	49.8257839721254	50.1742160278746	50.1742160278746
"17"	"Species_24"	0	0	74.2857142857143	25.7142857142857	25.7142857142857	74.2857142857143	25.7142857142857	0	25.7142857142857	0	74.2857142857143	0	74.2857142857143	74.2857142857143	25.7142857142857	100	100	74.2857142857143	74.2857142857143	0	74.2857142857143	25.7142857142857	74.2857142857143	74.2857142857143
"18"	"Species_3"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"19"	"Species_4"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"20"	"Species_5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"Species_6"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"22"	"Species_7"	0	0	0	100	100	0	100	0	100	0	0	0	0	0	100	100	100	0	0	0	0	100	0	0
"23"	"Species_8"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
"24"	"Species_9"	0	0	100	0	0	100	0	0	0	0	100	0	100	100	0	100	100	100	100	0	100	0	100	100
