"identifier"	"YCOOR"	"XCOOR"
"1"	"Species_1"	-19.3797814	-40.0595628
"2"	"Species_1"	-18.4084699	-40.2144809
"3"	"Species_1"	-18.4084699	-40.2144809
"4"	"Species_1"	-19.8833333	-40.3833333
"5"	"Species_1"	-19.9281421	-40.5967213
"6"	"Species_1"	-22.3642077	-41.7849727
"7"	"Species_1"	-20.7166667	-42.3833333
"8"	"Species_1"	-22.9275956	-42.4972678
"9"	"Species_1"	-22.9275956	-42.4972678
"10"	"Species_1"	-20.6639344	-42.5221311
"11"	"Species_1"	-22.2811475	-43.5336066
"12"	"Species_1"	-19.9013661	-43.939071
"13"	"Species_1"	-20.2360656	-46.368306
"14"	"Species_1"	-22.6087432	-46.7008197
"15"	"Species_1"	-23.6161202	-46.7259563
"16"	"Species_1"	-22.4322404	-46.8221311
"17"	"Species_1"	-22.9038251	-47.0653005
"18"	"Species_1"	-22.9038251	-47.0653005
"19"	"Species_1"	-22.9038251	-47.0653005
"20"	"Species_1"	-22.9038251	-47.0653005
"21"	"Species_1"	-22.2656284	-47.146694
"22"	"Species_1"	-25.0185792	-47.9322404
"23"	"Species_1"	-23.0833333	-48.2666667
"24"	"Species_1"	-25.2907104	-48.3128415
"25"	"Species_1"	-25.515847	-48.5087432
"26"	"Species_1"	-25.515847	-48.5087432
"27"	"Species_1"	-25.515847	-48.5087432
"28"	"Species_1"	-25.4275956	-48.7117486
"29"	"Species_1"	-25.4275956	-48.7117486
"30"	"Species_1"	-25.2967213	-49.0516393
"31"	"Species_1"	-25.197541	-49.1131148
"32"	"Species_1"	-25.2907104	-49.2606557
"33"	"Species_1"	-24.8193989	-49.2653005
"34"	"Species_1"	-26.1871585	-49.2653005
"35"	"Species_1"	-23.1901639	-49.3849727
"36"	"Species_1"	-24.1032787	-49.4674863
"37"	"Species_1"	-24.1032787	-49.4674863
"38"	"Species_1"	-22.25	-49.5
"39"	"Species_1"	-26.2377049	-49.6357923
"40"	"Species_1"	-23.1005464	-50.360929
"41"	"Species_1"	-22.3265027	-50.4043716
"42"	"Species_1"	-24.504918	-50.4117486
"43"	"Species_1"	-23.1532787	-50.5213115
"44"	"Species_1"	-23.4931694	-50.6459016
"45"	"Species_1"	-22.9038251	-52.1748634
"46"	"Species_1"	-23.654918	-52.6057377
"47"	"Species_1"	-23.654918	-52.6057377
"48"	"Species_1"	-25.1519126	-52.6945355
"49"	"Species_1"	-23.0953552	-52.7838798
"50"	"Species_1"	-23.0953552	-52.7838798
"51"	"Species_1"	-23.8680328	-52.8715847
"52"	"Species_1"	-22.5218579	-53.0601093
"53"	"Species_1"	-23.7576503	-53.3185792
"54"	"Species_1"	-23.7576503	-53.3185792
"55"	"Species_1"	-23.7265027	-53.4989071
"56"	"Species_1"	-23.3956284	-53.5784153
"57"	"Species_1"	-23.779235	-53.6284153
"58"	"Species_1"	-21.1185792	-56.4808743
"59"	"Species_1"	-20.5095628	-56.7210383
"60"	"Species_1"	-18.9666667	-57.657377
"61"	"Species_1"	-19.1923497	-40.097541
"62"	"Species_1"	-19.1923497	-40.097541
"63"	"Species_1"	-19.1923497	-40.097541
"64"	"Species_1"	-20.2005464	-40.4904372
"65"	"Species_1"	-19.9314208	-40.5967213
"66"	"Species_1"	-19.7371585	-40.6576503
"67"	"Species_1"	-21.4704918	-41.1103825
"68"	"Species_1"	-16.7333333	-41.9333333
"69"	"Species_1"	-22.9286885	-42.4961749
"70"	"Species_1"	-19.9620219	-43.4169399
"71"	"Species_1"	-19.1655738	-43.7150273
"72"	"Species_1"	-20.6120219	-46.0494536
"73"	"Species_1"	-22.5937158	-46.5177596
"74"	"Species_1"	-22.8510929	-47.0653005
"75"	"Species_1"	-22.8510929	-47.0653005
"76"	"Species_1"	-23.5275956	-47.1355191
"77"	"Species_1"	-22.6260656	-47.6095902
"78"	"Species_1"	-24.6464208	-48.3919399
"79"	"Species_1"	-22.3095628	-49.0639344
"80"	"Species_1"	-22.25	-49.5
"81"	"Species_1"	-22.25	-49.5
"82"	"Species_1"	-20.7833333	-51.5666667
"83"	"Species_1"	-22.1669399	-52.726776
"84"	"Species_1"	-22.8510929	-55.2226776
"85"	"Species_1"	-23.0898907	-55.2226776
"86"	"Species_1"	-20.5136612	-56.7248634
"87"	"Species_2"	-21.6442623	-43.3286885
"88"	"Species_2"	-19.8494536	-43.45
"89"	"Species_4"	-9.06666667	-44.35
"90"	"Species_4"	-10.565847	-45.689071
"91"	"Species_5"	-19.7	-42.7333333
"92"	"Species_5"	-19.7	-42.7333333
"93"	"Species_5"	-19.7	-42.7333333
"94"	"Species_5"	-19.7	-42.7333333
"95"	"Species_5"	-19.7	-42.7333333
"96"	"Species_5"	-19.7	-42.7333333
"97"	"Species_5"	-19.7	-42.7333333
"98"	"Species_5"	-19.7	-42.7333333
"99"	"Species_5"	-19.7	-42.7333333
"100"	"Species_5"	-19.7	-42.7333333
