identifier	XCOOR	YCOOR
Caatinga	-40.52821833	-14.7500883
Caatinga	-40.63159464	-14.62603672
Caatinga	-40.87969778	-14.60122641
Caatinga	-41.12780093	-14.82451924
Caatinga	-41.5991969	-15.12224301
Caatinga	-42.16983414	-15.17186364
Caatinga	-42.36831665	-15.29591521
Caatinga	-42.04578256	-15.54401836
Caatinga	-41.88832361	-15.70147732
Caatinga	-42.30336371	-15.84195243
Caatinga	-43.00370251	-15.79192823
Caatinga	-43.25382351	-15.91698873
Caatinga	-43.4289082	-16.29217023
Caatinga	-43.629005	-16.61732752
Caatinga	-43.8291018	-16.69236382
Caatinga	-43.8291018	-16.46725493
Caatinga	-43.9791744	-16.21713393
Caatinga	-44.1542591	-16.04204923
Caatinga	-44.1542591	-15.71689193
Caatinga	-44.5044285	-15.84195243
Caatinga	-44.8295858	-16.14209763
Caatinga	-44.7795616	-16.54229122
Caatinga	-44.5794648	-16.84243642
Caatinga	-44.8545979	-16.89246062
Caatinga	-44.9296342	-16.56730332
Caatinga	-44.95464629	-16.14209763
Caatinga	-45.12973099	-15.94200083
Caatinga	-44.7545495	-15.66686773
Caatinga	-44.5794648	-15.41674673
Caatinga	-44.3043317	-14.94151683
Caatinga	-44.4293922	-14.71640794
Caatinga	-44.6545011	-14.14112964
Caatinga	-44.5044285	-13.71592394
Caatinga	-44.7045253	-13.19066985
Caatinga	-44.3293438	-13.14064565
Caatinga	-44.4043801	-12.69042785
Caatinga	-44.1542591	-12.11514955
Caatinga	-44.1792712	-11.73996805
Caatinga	-43.629005	-11.61490755
Caatinga	-44.0792228	-10.98960506
Caatinga	-44.3293438	-10.48936306
Caatinga	-44.8045737	-10.58941146
Caatinga	-44.9296342	-10.31427836
Caatinga	-44.5544527	-10.13919366
Caatinga	-44.4293922	-9.713987966
Caatinga	-43.9291502	-9.513891168
Caatinga	-43.6790292	-9.038661271
Caatinga	-43.8541139	-8.688491873
Caatinga	-43.7790776	-8.388346675
Caatinga	-43.6540171	-7.838080478
Caatinga	-43.5789808	-7.41287478
Caatinga	-43.378884	-7.262802181
Caatinga	-43.27883561	-7.48791108
Caatinga	-43.05372671	-7.56294738
Caatinga	-42.60350891	-7.362850581
Caatinga	-42.20331531	-7.162753782
Caatinga	-41.95319431	-7.062705383
Caatinga	-41.75309751	-7.087717482
Caatinga	-41.67806121	-6.887620684
Caatinga	-41.52798862	-6.712535985
Caatinga	-41.65304912	-6.462414986
Caatinga	-41.32789182	-6.412390787
Caatinga	-41.45295232	-5.91214879
Caatinga	-41.40292812	-5.286846294
Caatinga	-41.37791602	-4.336386499
Caatinga	-41.05275872	-4.011229201
Caatinga	-41.22784342	-3.485975105
Caatinga	-41.55300072	-3.335902505
Caatinga	-41.80312171	-2.985733108
Caatinga	-42.30336371	-2.960721008
Caatinga	-42.65353311	-2.860672608
