"identifier"	"homepolygon"
"1"	"Species_1"	NA
"2"	"Species_1"	NA
"3"	"Species_1"	NA
"4"	"Species_1"	NA
"5"	"Species_1"	NA
"6"	"Species_1"	NA
"7"	"Species_1"	NA
"8"	"Species_1"	NA
"9"	"Species_1"	NA
"10"	"Species_1"	NA
"11"	"Species_1"	NA
"12"	"Species_1"	NA
"13"	"Species_1"	NA
"14"	"Species_1"	NA
"15"	"Species_1"	NA
"16"	"Species_1"	NA
"17"	"Species_1"	NA
"18"	"Species_1"	NA
"19"	"Species_1"	NA
"20"	"Species_1"	NA
"21"	"Species_1"	NA
"22"	"Species_1"	NA
"23"	"Species_1"	NA
"24"	"Species_1"	NA
"25"	"Species_1"	NA
"26"	"Species_1"	NA
"27"	"Species_1"	NA
"28"	"Species_1"	NA
"29"	"Species_1"	NA
"30"	"Species_1"	NA
"31"	"Species_1"	NA
"32"	"Species_1"	NA
"33"	"Species_1"	NA
"34"	"Species_1"	NA
"35"	"Species_1"	NA
"36"	"Species_1"	NA
"37"	"Species_1"	NA
"38"	"Species_1"	NA
"39"	"Species_1"	NA
"40"	"Species_1"	NA
"41"	"Species_1"	NA
"42"	"Species_1"	NA
"43"	"Species_1"	NA
"44"	"Species_1"	NA
"45"	"Species_1"	NA
"46"	"Species_1"	NA
"47"	"Species_1"	NA
"48"	"Species_1"	NA
"49"	"Species_1"	NA
"50"	"Species_1"	NA
"51"	"Species_1"	NA
"52"	"Species_1"	NA
"53"	"Species_1"	NA
"54"	"Species_1"	NA
"55"	"Species_1"	NA
"56"	"Species_1"	NA
"57"	"Species_1"	NA
"58"	"Species_1"	NA
"59"	"Species_1"	NA
"60"	"Species_1"	NA
"61"	"Species_1"	NA
"62"	"Species_1"	NA
"63"	"Species_1"	NA
"64"	"Species_1"	NA
"65"	"Species_1"	NA
"66"	"Species_1"	NA
"67"	"Species_1"	NA
"68"	"Species_1"	NA
"69"	"Species_1"	NA
"70"	"Species_1"	NA
"71"	"Species_1"	NA
"72"	"Species_1"	NA
"73"	"Species_1"	NA
"74"	"Species_1"	NA
"75"	"Species_1"	NA
"76"	"Species_1"	NA
"77"	"Species_1"	NA
"78"	"Species_1"	NA
"79"	"Species_1"	NA
"80"	"Species_1"	NA
"81"	"Species_1"	NA
"82"	"Species_1"	NA
"83"	"Species_1"	NA
"84"	"Species_1"	NA
"85"	"Species_1"	NA
"86"	"Species_1"	NA
"87"	"Species_2"	NA
"88"	"Species_2"	NA
"89"	"Species_3"	"Caatinga"
"90"	"Species_4"	"Caatinga"
"91"	"Species_4"	NA
"92"	"Species_4"	NA
"93"	"Species_5"	NA
"94"	"Species_5"	NA
"95"	"Species_5"	NA
"96"	"Species_5"	NA
"97"	"Species_5"	NA
"98"	"Species_5"	NA
"99"	"Species_5"	NA
"100"	"Species_5"	NA
"101"	"Species_5"	NA
"102"	"Species_5"	NA
"103"	"Species_5"	NA
"104"	"Species_5"	NA
"105"	"Species_5"	NA
"106"	"Species_5"	NA
"107"	"Species_6"	"Caatinga"
"108"	"Species_6"	"Caatinga"
"109"	"Species_6"	"Caatinga"
"110"	"Species_6"	"Caatinga"
"111"	"Species_6"	NA
"112"	"Species_6"	NA
"113"	"Species_6"	NA
"114"	"Species_6"	NA
"115"	"Species_6"	NA
"116"	"Species_6"	NA
"117"	"Species_6"	NA
"118"	"Species_6"	NA
"119"	"Species_6"	NA
"120"	"Species_6"	NA
"121"	"Species_6"	NA
"122"	"Species_6"	NA
"123"	"Species_6"	NA
"124"	"Species_6"	NA
"125"	"Species_6"	NA
"126"	"Species_6"	NA
"127"	"Species_6"	NA
"128"	"Species_6"	NA
"129"	"Species_6"	NA
"130"	"Species_6"	NA
"131"	"Species_6"	NA
"132"	"Species_6"	NA
"133"	"Species_6"	NA
"134"	"Species_6"	NA
"135"	"Species_6"	NA
"136"	"Species_6"	NA
"137"	"Species_6"	NA
"138"	"Species_6"	NA
"139"	"Species_6"	NA
"140"	"Species_6"	NA
"141"	"Species_6"	NA
"142"	"Species_6"	NA
"143"	"Species_6"	NA
"144"	"Species_6"	NA
"145"	"Species_6"	NA
"146"	"Species_6"	NA
"147"	"Species_6"	NA
"148"	"Species_6"	NA
"149"	"Species_6"	NA
"150"	"Species_6"	NA
"151"	"Species_6"	NA
"152"	"Species_6"	NA
"153"	"Species_6"	NA
"154"	"Species_6"	NA
"155"	"Species_6"	NA
"156"	"Species_6"	NA
"157"	"Species_6"	NA
"158"	"Species_6"	NA
"159"	"Species_6"	NA
"160"	"Species_6"	NA
"161"	"Species_6"	NA
"162"	"Species_6"	NA
"163"	"Species_6"	NA
"164"	"Species_6"	NA
"165"	"Species_6"	NA
"166"	"Species_6"	NA
"167"	"Species_6"	NA
"168"	"Species_6"	NA
"169"	"Species_6"	NA
"170"	"Species_6"	NA
"171"	"Species_6"	NA
"172"	"Species_6"	NA
"173"	"Species_6"	NA
"174"	"Species_6"	NA
"175"	"Species_6"	NA
"176"	"Species_6"	NA
"177"	"Species_6"	NA
"178"	"Species_6"	NA
"179"	"Species_6"	NA
"180"	"Species_6"	NA
"181"	"Species_6"	NA
"182"	"Species_6"	NA
"183"	"Species_6"	NA
"184"	"Species_6"	NA
"185"	"Species_6"	NA
"186"	"Species_7"	NA
"187"	"Species_7"	NA
"188"	"Species_7"	NA
"189"	"Species_7"	NA
"190"	"Species_7"	NA
"191"	"Species_7"	NA
"192"	"Species_7"	NA
"193"	"Species_7"	NA
"194"	"Species_7"	NA
"195"	"Species_7"	NA
"196"	"Species_7"	"N_Andes"
"197"	"Species_7"	"N_Andes"
"198"	"Species_7"	"N_Andes"
"199"	"Species_7"	NA
"200"	"Species_7"	NA
"201"	"Species_7"	NA
"202"	"Species_8"	"Caatinga"
"203"	"Species_8"	"Caatinga"
"204"	"Species_8"	"Caatinga"
"205"	"Species_8"	"Caatinga"
"206"	"Species_8"	"Caatinga"
"207"	"Species_8"	"Caatinga"
"208"	"Species_8"	"Caatinga"
"209"	"Species_8"	"Caatinga"
"210"	"Species_8"	"Caatinga"
"211"	"Species_8"	"Caatinga"
"212"	"Species_8"	"Caatinga"
"213"	"Species_8"	"Caatinga"
