"identifier"	"Caatinga"	"N_Andes"
"1"	"Species_1"	0	0
"2"	"Species_10"	0	0
"3"	"Species_11"	2	0
"4"	"Species_12"	0	15
"5"	"Species_13"	0	6
"6"	"Species_14"	2	0
"7"	"Species_15"	0	2
"8"	"Species_16"	0	0
"9"	"Species_17"	0	1
"10"	"Species_18"	0	0
"11"	"Species_19"	4	0
"12"	"Species_2"	0	0
"13"	"Species_20"	2	0
"14"	"Species_21"	14	0
"15"	"Species_22"	0	2
"16"	"Species_23"	144	143
"17"	"Species_24"	26	9
"18"	"Species_3"	1	0
"19"	"Species_4"	1	0
"20"	"Species_5"	0	0
"21"	"Species_6"	4	0
"22"	"Species_7"	0	3
"23"	"Species_8"	35	0
"24"	"Species_9"	3	0
