"identifier"	"homepolygon"
"1"	"Acokanthera oblongifolia"	"AT"
"2"	"Acokanthera oblongifolia"	"AT"
"3"	"Acokanthera oblongifolia"	"PA"
"4"	"Acokanthera oblongifolia"	"AT"
"5"	"Acokanthera oblongifolia"	"AT"
"6"	"Acokanthera oblongifolia"	"AT"
"7"	"Acokanthera oblongifolia"	"AT"
"8"	"Acokanthera oblongifolia"	"AT"
"9"	"Acokanthera oblongifolia"	"AT"
"10"	"Acokanthera oblongifolia"	"AT"
"11"	"Acokanthera oblongifolia"	"AT"
"12"	"Acokanthera oblongifolia"	"AT"
"13"	"Acokanthera oblongifolia"	"AT"
"14"	"Acokanthera oblongifolia"	"AT"
"15"	"Acokanthera oblongifolia"	"AT"
"16"	"Acokanthera oblongifolia"	"AT"
"17"	"Acokanthera oblongifolia"	"AT"
"18"	"Acokanthera oblongifolia"	"AT"
"19"	"Acokanthera oblongifolia"	"AT"
"20"	"Acokanthera oblongifolia"	"AT"
"21"	"Acokanthera oblongifolia"	"AT"
"22"	"Acokanthera oblongifolia"	"AT"
"23"	"Acokanthera oblongifolia"	"AT"
"24"	"Acokanthera oblongifolia"	"AT"
"25"	"Acokanthera oblongifolia"	"AT"
"26"	"Acokanthera oblongifolia"	"AT"
"27"	"Acokanthera oblongifolia"	"AT"
"28"	"Acokanthera oblongifolia"	"AT"
"29"	"Acokanthera oblongifolia"	"AT"
"30"	"Acokanthera oblongifolia"	"AT"
"31"	"Acokanthera oblongifolia"	"AT"
"32"	"Acokanthera oblongifolia"	"AT"
"33"	"Acokanthera oblongifolia"	"AT"
"34"	"Acokanthera oblongifolia"	"AT"
"35"	"Acokanthera oblongifolia"	"AT"
"36"	"Acokanthera oblongifolia"	"AT"
"37"	"Acokanthera oblongifolia"	"AT"
"38"	"Acokanthera oblongifolia"	"AT"
"39"	"Acokanthera oblongifolia"	"AT"
"40"	"Acokanthera oblongifolia"	"AT"
"41"	"Acokanthera oblongifolia"	"AT"
"42"	"Acokanthera oblongifolia"	"AT"
"43"	"Acokanthera oblongifolia"	"AT"
"44"	"Acokanthera oblongifolia"	"AT"
"45"	"Acokanthera oblongifolia"	"AT"
"46"	"Acokanthera oblongifolia"	"AT"
"47"	"Acokanthera oblongifolia"	"AT"
"48"	"Acokanthera oblongifolia"	"AT"
"49"	"Acokanthera oblongifolia"	"AT"
"50"	"Acokanthera oblongifolia"	"AT"
"51"	"Acokanthera oblongifolia"	"AT"
"52"	"Acokanthera oblongifolia"	"AT"
"53"	"Acokanthera oblongifolia"	"AT"
"54"	"Acokanthera oblongifolia"	"PA"
"55"	"Acokanthera oblongifolia"	"PA"
"56"	"Acokanthera oblongifolia"	"PA"
"57"	"Acokanthera oblongifolia"	"PA"
"58"	"Acokanthera oblongifolia"	"PA"
"59"	"Acokanthera oblongifolia"	"PA"
"60"	"Acokanthera oblongifolia"	"AT"
"61"	"Acokanthera oblongifolia"	"AT"
"62"	"Acokanthera oblongifolia"	"AT"
"63"	"Acokanthera oblongifolia"	"AT"
"64"	"Acokanthera oblongifolia"	"AT"
"65"	"Acokanthera oblongifolia"	"PA"
"66"	"Acokanthera oblongifolia"	"AT"
"67"	"Acokanthera oppositifolia"	"AT"
"68"	"Acokanthera oppositifolia"	"AT"
"69"	"Acokanthera oppositifolia"	"AT"
"70"	"Acokanthera oppositifolia"	"AT"
"71"	"Acokanthera oppositifolia"	"AT"
"72"	"Acokanthera oppositifolia"	"AT"
"73"	"Acokanthera oppositifolia"	"AT"
"74"	"Acokanthera oppositifolia"	"AT"
"75"	"Acokanthera oppositifolia"	"AT"
"76"	"Acokanthera oppositifolia"	"AT"
"77"	"Acokanthera oppositifolia"	"AT"
"78"	"Acokanthera oppositifolia"	"AT"
"79"	"Acokanthera oppositifolia"	"AT"
"80"	"Acokanthera oppositifolia"	"AT"
"81"	"Acokanthera oppositifolia"	"AT"
"82"	"Acokanthera oppositifolia"	"AT"
"83"	"Acokanthera oppositifolia"	"AT"
"84"	"Acokanthera oppositifolia"	"AT"
"85"	"Acokanthera oppositifolia"	"AT"
"86"	"Acokanthera oppositifolia"	"AT"
"87"	"Acokanthera oppositifolia"	"AT"
"88"	"Acokanthera oppositifolia"	"AT"
"89"	"Acokanthera oppositifolia"	"AT"
"90"	"Acokanthera oppositifolia"	"AT"
"91"	"Acokanthera oppositifolia"	"AT"
"92"	"Acokanthera oppositifolia"	"AT"
"93"	"Acokanthera oppositifolia"	"AT"
"94"	"Acokanthera oppositifolia"	"AT"
"95"	"Acokanthera oppositifolia"	"AT"
"96"	"Acokanthera oppositifolia"	"AT"
"97"	"Acokanthera oppositifolia"	"AT"
"98"	"Acokanthera oppositifolia"	"AT"
"99"	"Acokanthera oppositifolia"	"AT"
"100"	"Acokanthera oppositifolia"	"AT"
"101"	"Acokanthera oppositifolia"	"AT"
"102"	"Acokanthera oppositifolia"	"AT"
"103"	"Acokanthera oppositifolia"	"AT"
"104"	"Acokanthera oppositifolia"	"AT"
"105"	"Acokanthera oppositifolia"	"AT"
"106"	"Acokanthera oppositifolia"	"AT"
"107"	"Acokanthera oppositifolia"	"AT"
"108"	"Acokanthera oppositifolia"	"AT"
"109"	"Acokanthera oppositifolia"	"AT"
"110"	"Acokanthera oppositifolia"	"AT"
"111"	"Acokanthera oppositifolia"	"AT"
"112"	"Acokanthera oppositifolia"	"AT"
"113"	"Acokanthera oppositifolia"	"AT"
"114"	"Acokanthera oppositifolia"	"AT"
"115"	"Acokanthera oppositifolia"	"AT"
"116"	"Acokanthera oppositifolia"	"AT"
"117"	"Acokanthera oppositifolia"	"AT"
"118"	"Acokanthera oppositifolia"	"AT"
"119"	"Acokanthera oppositifolia"	"AT"
"120"	"Acokanthera oppositifolia"	"AT"
"121"	"Acokanthera oppositifolia"	"AT"
"122"	"Acokanthera oppositifolia"	"AT"
"123"	"Acokanthera oppositifolia"	"AT"
"124"	"Acokanthera oppositifolia"	"AT"
"125"	"Acokanthera oppositifolia"	"AT"
"126"	"Acokanthera oppositifolia"	"AT"
"127"	"Acokanthera oppositifolia"	"AT"
"128"	"Acokanthera oppositifolia"	"AT"
"129"	"Acokanthera oppositifolia"	"AT"
"130"	"Acokanthera oppositifolia"	"AT"
"131"	"Acokanthera oppositifolia"	"AT"
"132"	"Acokanthera oppositifolia"	"AT"
"133"	"Acokanthera oppositifolia"	"AT"
"134"	"Acokanthera oppositifolia"	"AT"
"135"	"Acokanthera oppositifolia"	"AT"
"136"	"Acokanthera oppositifolia"	"AT"
"137"	"Acokanthera oppositifolia"	"AT"
"138"	"Acokanthera oppositifolia"	"AT"
"139"	"Acokanthera oppositifolia"	"AT"
"140"	"Acokanthera oppositifolia"	"AT"
"141"	"Acokanthera oppositifolia"	"AT"
"142"	"Acokanthera oppositifolia"	"AT"
"143"	"Acokanthera oppositifolia"	"AT"
"144"	"Acokanthera oppositifolia"	"AT"
"145"	"Acokanthera oppositifolia"	"AT"
"146"	"Acokanthera oppositifolia"	"AT"
"147"	"Acokanthera oppositifolia"	"AT"
"148"	"Acokanthera oppositifolia"	"AT"
"149"	"Acokanthera oppositifolia"	"AT"
"150"	"Acokanthera oppositifolia"	"AT"
"151"	"Acokanthera oppositifolia"	"AT"
"152"	"Acokanthera oppositifolia"	"AT"
"153"	"Acokanthera oppositifolia"	"AT"
"154"	"Acokanthera oppositifolia"	"AT"
"155"	"Acokanthera oppositifolia"	"AT"
"156"	"Acokanthera oppositifolia"	"AT"
"157"	"Acokanthera oppositifolia"	"AT"
"158"	"Acokanthera oppositifolia"	"AT"
"159"	"Acokanthera oppositifolia"	"AT"
"160"	"Acokanthera oppositifolia"	"AT"
"161"	"Acokanthera oppositifolia"	"AT"
"162"	"Acokanthera oppositifolia"	"AT"
"163"	"Acokanthera oppositifolia"	"AT"
"164"	"Acokanthera oppositifolia"	"AT"
"165"	"Acokanthera oppositifolia"	"AT"
"166"	"Acokanthera oppositifolia"	"AT"
"167"	"Acokanthera oppositifolia"	"AT"
"168"	"Acokanthera oppositifolia"	"AT"
"169"	"Acokanthera oppositifolia"	"AT"
"170"	"Acokanthera oppositifolia"	"AT"
"171"	"Acokanthera oppositifolia"	"AT"
"172"	"Acokanthera oppositifolia"	"AT"
"173"	"Acokanthera oppositifolia"	"AT"
"174"	"Acokanthera oppositifolia"	"AT"
"175"	"Acokanthera oppositifolia"	"AT"
"176"	"Acokanthera oppositifolia"	"AT"
"177"	"Acokanthera oppositifolia"	"AT"
"178"	"Acokanthera oppositifolia"	"AT"
"179"	"Acokanthera oppositifolia"	"AT"
"180"	"Acokanthera oppositifolia"	"AT"
"181"	"Acokanthera oppositifolia"	"AT"
"182"	"Acokanthera oppositifolia"	"AT"
"183"	"Acokanthera oppositifolia"	"AT"
"184"	"Acokanthera oppositifolia"	"AT"
"185"	"Acokanthera oppositifolia"	"AT"
"186"	"Acokanthera oppositifolia"	"AT"
"187"	"Acokanthera oppositifolia"	"AT"
"188"	"Acokanthera oppositifolia"	"AT"
"189"	"Acokanthera oppositifolia"	"AT"
