identifier	XCOOR	YCOOR
Acokanthera oblongifolia	42.05	9.2
Acokanthera oblongifolia	42.05	9.2
Acokanthera oblongifolia	-5.99	37.39
Acokanthera oblongifolia	32.67	-27.55
Acokanthera oblongifolia	28.875	-32.125
Acokanthera oblongifolia	30.375	-30.625
Acokanthera oblongifolia	30.125	-31.125
Acokanthera oblongifolia	32.875	-26.875
Acokanthera oblongifolia	31.625	-29.125
Acokanthera oblongifolia	31.125	-29.875
Acokanthera oblongifolia	32.875	-26.875
Acokanthera oblongifolia	31.625	-27.375
Acokanthera oblongifolia	28.625	-32.375
Acokanthera oblongifolia	27.125	-32.875
Acokanthera oblongifolia	27.875	-33.125
Acokanthera oblongifolia	27.875	-33.125
Acokanthera oblongifolia	23.125	-34.125
Acokanthera oblongifolia	29.375	-31.875
Acokanthera oblongifolia	18.375	-33.875
Acokanthera oblongifolia	22.125	-34.125
Acokanthera oblongifolia	27.875	-31.875
Acokanthera oblongifolia	29.625	-31.625
Acokanthera oblongifolia	28.125	-25.625
Acokanthera oblongifolia	28.125	-25.625
Acokanthera oblongifolia	28.125	-25.625
Acokanthera oblongifolia	28.125	-25.625
Acokanthera oblongifolia	31.625	-27.375
Acokanthera oblongifolia	31.625	-27.375
Acokanthera oblongifolia	31.875	-27.375
Acokanthera oblongifolia	30.375	-30.625
Acokanthera oblongifolia	31.375	-29.375
Acokanthera oblongifolia	31.875	-28.625
Acokanthera oblongifolia	31.125	-29.875
Acokanthera oblongifolia	31.125	-29.875
Acokanthera oblongifolia	30.875	-30.125
Acokanthera oblongifolia	31.125	-29.375
Acokanthera oblongifolia	31.125	-29.625
Acokanthera oblongifolia	31.625	-27.375
Acokanthera oblongifolia	29.625	-31.375
Acokanthera oblongifolia	29.625	-31.625
Acokanthera oblongifolia	29.625	-31.625
Acokanthera oblongifolia	29.625	-31.625
Acokanthera oblongifolia	30.125	-31.125
Acokanthera oblongifolia	31.625	-27.375
Acokanthera oblongifolia	31.125	-27.625
Acokanthera oblongifolia	29.625	-31.375
Acokanthera oblongifolia	28.375	-32.375
Acokanthera oblongifolia	27.625	-33.125
Acokanthera oblongifolia	31.125	-29.875
Acokanthera oblongifolia	32.625	-27.625
Acokanthera oblongifolia	32.625	-27.375
Acokanthera oblongifolia	28.375	-25.625
Acokanthera oblongifolia	31.625	-26.375
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	-4.429	36.763
Acokanthera oblongifolia	31.875	-28.625
Acokanthera oblongifolia	32.375	-28.625
Acokanthera oblongifolia	32.625	-27.375
Acokanthera oblongifolia	32.875	-27.125
Acokanthera oblongifolia	32.875	-27.125
Acokanthera oblongifolia	-4.405	36.727
Acokanthera oblongifolia	32.63335	-25.91301
Acokanthera oppositifolia	24.625	-33.625
Acokanthera oppositifolia	22.875	-34.125
Acokanthera oppositifolia	36	-7.5
Acokanthera oppositifolia	36.64	-3.32
Acokanthera oppositifolia	36.66	-3.28
Acokanthera oppositifolia	27.875	-25.875
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	27.875	-25.875
Acokanthera oppositifolia	27.875	-26.125
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	27.875	-25.625
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	27.625	-25.875
Acokanthera oppositifolia	26.625	-25.625
Acokanthera oppositifolia	26.625	-25.625
Acokanthera oppositifolia	26.625	-25.625
Acokanthera oppositifolia	28.125	-25.875
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	27.625	-25.125
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	28.125	-25.625
Acokanthera oppositifolia	32.375	-26.875
Acokanthera oppositifolia	26.625	-33.625
Acokanthera oppositifolia	24.375	-33.875
Acokanthera oppositifolia	22.625	-33.875
Acokanthera oppositifolia	22.875	-27.875
Acokanthera oppositifolia	29.625	-31.625
Acokanthera oppositifolia	22.875	-34.125
Acokanthera oppositifolia	26.875	-31.875
Acokanthera oppositifolia	22.875	-34.125
Acokanthera oppositifolia	31.125	-29.875
Acokanthera oppositifolia	30.625	-28.125
