"identifier"	"AA"	"AT"	"IM"	"Noam"	"NT"	"OC"	"PA"
"1"	"Acokanthera oblongifolia"	0	58	0	0	0	0	8
"2"	"Acokanthera oppositifolia"	0	133	0	0	0	0	0
"3"	"Acrosynanthus latifolius"	0	0	0	0	4	0	0
"4"	"Acrosynanthus revolutus"	0	0	0	0	2	0	0
"5"	"Adenium obesum"	0	74	0	0	0	1	0
"6"	"Adina pilulifera"	0	0	5	0	0	0	13
"7"	"Afrocanthium lactescens"	0	53	0	0	0	0	0
"8"	"Alberta magna"	0	30	0	0	0	0	0
"9"	"Alibertia edulis"	0	0	0	0	1160	1	0
"10"	"Allamanda cathartica"	12	50	6	4	416	8	1
"11"	"Allamanda schottii"	0	34	0	0	12	2	0
"12"	"Alseis floribunda"	0	0	0	0	58	0	0
"13"	"Alseis lugonis"	0	0	0	0	19	0	0
"14"	"Alstonia longifolia"	0	0	0	0	37	0	0
"15"	"Alstonia scholaris"	35	0	36	2	1	2	0
"16"	"Alyxia reinwardtii"	0	0	15	0	0	0	0
"17"	"Amaioua corymbosa"	0	0	0	0	384	0	0
"18"	"Amphineurion marginatum"	0	0	4	0	0	0	0
"19"	"Amsonia elliptica"	0	0	0	0	0	0	3
"20"	"Amsonia tabernaemontana"	0	0	0	74	0	0	2
"21"	"Anthocleista grandiflora"	0	116	0	0	0	0	0
"22"	"Anthospermum herbaceum"	0	267	0	0	0	0	0
"23"	"Antirhea madagascariensis"	0	46	0	0	0	0	0
"24"	"Antonia ovata"	0	0	0	0	188	0	0
"25"	"Apocynum cannabinum"	0	5	0	1192	0	0	1
"26"	"Arachnothryx buddleioides"	0	0	0	0	543	0	0
"27"	"Arachnothryx chimboracensis"	0	0	0	0	5	0	0
"28"	"Arachnothryx leucophylla"	0	0	0	1	26	0	0
"29"	"Araujia sericifera"	48	45	0	36	28	0	29
"30"	"Arcytophyllum aristatum"	0	0	0	0	27	0	0
"31"	"Argostemma geesinkii"	0	0	1	0	0	0	0
"32"	"Argostemma hookeri"	0	0	1	0	0	0	0
"33"	"Argostemma parvifolium"	0	0	1	0	0	0	0
