identifier	XCOOR	YCOOR
AA	113.2357483	-39.88002206
AA	110.5223921	-16.48902025
AA	116.1830145	-11.06230783
AA	115.6684125	-8.910335669
AA	116.6976166	-7.039055524
AA	119.5045368	1.007449097
AA	123.3406611	4.983919405
AA	127.5042594	5.545303448
AA	132.0421138	4.095061336
AA	155.5266796	-0.489575018
AA	169.7951907	-9.19102769
AA	174.333045	-18.73455643
AA	172.7892389	-22.66424473
AA	167.6432185	-24.39517886
AA	160.2984439	-22.2432067
AA	179.5258474	-33.70479758
AA	179.5258474	-46.8037586
AA	169.9823187	-54.6631352
AA	141.7259885	-51.29483094
AA	113.2357483	-39.88002206
AN	-180	-78.33482903
AN	-57.98638493	-60.74479567
AN	-38.89932745	-58.4992595
AN	114.9199004	-61.86756376
AN	166.1929764	-64.11309993
AN	179.6661934	-62.24181979
AN	180	-90
AN	-180	-90
AN	-180	-78.33482903
AT	-17.37960579	21.12371065
AT	-16.35040171	17.75540639
AT	-12.79496943	21.40440267
AT	-12.60784142	20.00094256
AT	-11.95289337	20.37519859
AT	-10.73656128	18.87817448
AT	-6.619744958	17.47471437
AT	-2.50292864	17.66184238
AT	2.175271721	18.50391845
AT	4.795063924	17.56827838
AT	7.227728112	17.8489704
AT	7.695548148	19.72025054
AT	10.12821234	18.78461047
AT	10.31534035	16.91333033
AT	10.68959638	15.88412625
AT	16.30343681	15.69699823
AT	20.60738115	16.6326383
AT	21.44945721	17.94253441
AT	23.8821214	17.94253441
AT	25.28558151	16.25838228
AT	27.43755367	15.41630621
AT	29.58952584	16.6326383
AT	31.27367797	17.19402235
AT	33.51921414	17.66184238
AT	34.73554624	18.59748246
AT	36.51326237	19.43955852
AT	37.16821042	20.09450657
AT	38.94592656	22.52717076
AT	39.50731061	23.27568282
AT	38.01028649	24.67914293
AT	38.47810653	24.95983495
AT	39.88156663	23.64993885
AT	40.44295068	23.27568282
AT	41.47215476	21.96578672
AT	42.40779483	20.93658264
AT	43.06274288	19.72025054
AT	43.53056292	19.1588665
AT	44.559767	18.59748246
AT	44.74689501	16.5390743
AT	45.12115104	15.60343423
AT	46.52461115	14.94848617
AT	51.57706754	16.25838228
AT	52.51270761	17.10045834
AT	54.29042375	17.38115036
AT	55.13249981	17.8489704
AT	55.97457588	18.50391845
AT	56.72308794	19.25243051
AT	57.09734396	19.62668654
AT	58.03298404	20.37519859
AT	58.22011205	20.84301863
AT	58.03298404	21.7786587
AT	57.65872801	22.24647874
AT	55.9394459	22.35986858
AT	56.44239591	23.18211881
AT	56.16170389	23.46281083
AT	56.06813988	24.58557892
AT	56.06813988	24.77270693
AT	55.69388386	24.95983495
AT	54.85180779	24.49201491
AT	54.19685974	24.77270693
AT	55.22606382	25.80191101
AT	56.53595992	26.36329506
AT	57.28447198	25.42765498
AT	60.93346826	22.52717076
AT	57.93942003	18.31679043
AT	56.53595992	8.118313647
AT	73.19035321	-31.83351744
AT	39.97513064	-46.8973226
AT	5.075755946	-36.5117178
AT	-37.21517532	16.35194628
AT	-17.37960579	21.12371065
IM	133.1648818	30.05907334
IM	125.2587232	19.1588665
IM	128.4866815	13.26433404
IM	127.8785154	6.013123484
IM	122.732495	5.264611426
IM	121.0951249	4.14184334
IM	118.5221147	-0.349229007
IM	116.4169245	-7.460093557
IM	113.8906964	-12.84002397
IM	74.59381332	0.071809025
IM	66.5940907	24.02419488
IM	65.98592465	26.03582103
IM	66.31339868	26.69076908
IM	66.73443671	25.661565
IM	67.01512873	25.75512901
IM	67.29582075	25.98903903
IM	68.09111481	25.47443699
IM	67.57651277	25.94225702
IM	67.15547474	26.69076908
IM	67.43616676	27.95388318
IM	67.48294877	28.98308726
IM	68.09111481	29.4976893
IM	68.83962687	28.88952325
IM	69.44779292	28.84274125
IM	70.00917696	29.40412529
IM	69.44779292	29.82516332
IM	70.476997	30.48011137
IM	70.75768902	30.62045739
IM	70.05595897	31.93035349
IM	70.476997	33.05312157
IM	71.22550906	33.3805956
IM	72.11436712	33.28703159
IM	71.97402111	32.44495553
IM	72.06758512	32.44495553
IM	72.53540516	32.63208354
IM	73.56460924	32.67886554
IM	74.64059532	31.97713549
IM	74.78094133	32.1174815
IM	73.23713521	33.00633957
IM	71.55298308	34.92440172
IM	71.7401111	35.20509374
IM	72.76931517	35.67291378
IM	73.70495525	35.81325979
IM	74.59381332	35.34543975
IM	73.28391721	35.25187574
IM	74.4066853	34.36301767
IM	74.78094133	34.87761971
IM	75.7165814	34.03554365
IM	76.79256749	32.39817352
IM	78.42993761	30.90114941
IM	80.8626018	30.19941935
IM	81.56433185	29.73159932
IM	82.64031794	28.98308726
IM	84.88585411	28.32813921
IM	86.19575021	27.86031917
IM	88.30094037	27.57962715
IM	89.09623444	27.48606314
IM	91.06107859	27.95388318
IM	92.37097469	27.90710118
IM	93.30661476	28.2813572
IM	94.52294686	28.88952325
IM	96.11353498	28.93630525
IM	96.441009	28.70239524
IM	96.62813702	28.2345752
IM	97.09595705	28.09422919
IM	97.93803312	27.95388318
IM	98.40585316	27.43928114
IM	98.45263516	26.50364107
IM	98.63976317	25.24052697
IM	98.92045519	25.24052697
IM	98.87367319	26.17616704
IM	99.0140192	27.25215312
IM	99.34149323	27.01824311
IM	99.24792922	26.31651305
IM	99.43505723	25.42765498
IM	100.1835693	24.86627094
IM	100.2303513	25.28730897
IM	101.1192094	24.72592493
IM	101.6805934	24.02419488
IM	103.1308355	23.55637484
IM	105.3763717	23.55637484
IM	106.7798318	24.11775888
IM	106.1716658	24.95983495
IM	106.3120118	25.19374497
IM	106.9201778	25.28730897
IM	107.1073058	25.70834701
IM	107.8090359	26.17616704
IM	108.4172019	25.98903903
IM	108.6511119	26.36329506
IM	108.2300739	26.50364107
IM	107.4815619	27.06502511
IM	108.0429459	27.62640915
IM	108.978586	28.14101119
IM	109.165714	27.53284515
IM	109.867444	27.11180711
IM	110.1481361	27.39249914
IM	109.77388	27.76675516
IM	110.1949181	28.09422919
IM	111.5515962	28.60883123
IM	112.5808003	28.2345752
IM	112.1129802	27.71997316
IM	112.7679283	26.83111509
IM	113.0954023	26.9246791
IM	113.3293123	27.34571713
IM	113.0486203	28.04744719
IM	113.4228763	28.84274125
IM	113.7971323	29.12343327
IM	114.6392084	29.4976893
IM	115.5748485	29.40412529
IM	115.5748485	28.84274125
IM	114.7795544	28.42170322
IM	114.1246064	27.86031917
IM	114.4520804	27.76675516
IM	114.7795544	27.15858912
IM	115.1070284	26.9714611
IM	115.7151945	28.00066518
IM	116.7911806	28.1877932
IM	118.2882047	28.74917724
IM	119.5981008	29.73159932
IM	120.7676509	30.05907334
IM	121.796855	29.5444713
IM	126.3347093	29.26377928
IM	129.8901416	30.7608034
IM	131.2468197	30.94793141
IM	133.1648818	30.05907334
Noam	-116.8381455	25.661565
Noam	-138.1239571	52.56121708
Noam	-178.0290062	49.66073286
Noam	-179.9470683	51.81270502
Noam	-173.8654079	59.95277365
Noam	-174.0525359	62.80647587
Noam	-168.0644394	66.92329219
Noam	-170.1228476	80.0222532
Noam	-13.12244346	86.19747768
Noam	-11.81254736	81.70640533
Noam	-17.42638779	72.35000461
Noam	-27.53130057	68.04606028
Noam	-49.47698413	52.44683115
Noam	-52.08567091	45.133215
Noam	-59.29111834	45.47083846
Noam	-79.45932458	31.13505942
Noam	-79.97392662	26.50364107
Noam	-80.20783664	26.64398708
Noam	-80.81600269	26.9246791
Noam	-81.19025872	26.78433309
Noam	-81.04991271	26.36329506
Noam	-81.98555278	26.50364107
Noam	-96.30084589	25.42765498
Noam	-97.42361397	24.25810489
Noam	-98.17212603	22.90142679
Noam	-98.68672807	24.11775888
Noam	-99.48202213	22.76108078
Noam	-99.20133011	21.31083867
Noam	-98.17212603	20.4687626
Noam	-98.59316406	19.39277652
Noam	-99.48202213	18.97173849
Noam	-99.66915015	19.76703255
Noam	-99.80949616	20.28163459
Noam	-101.1193923	20.98336464
Noam	-102.1018143	21.26405666
Noam	-102.8035444	20.74945462
Noam	-104.4876965	20.56232661
Noam	-104.6280425	21.45118468
Noam	-105.0958626	22.48038876
Noam	-105.7975926	23.32246482
Noam	-105.7040286	23.46281083
Noam	-106.1250666	23.79028486
Noam	-106.4525407	24.3048869
Noam	-107.0607067	24.81948894
Noam	-107.0607067	25.28730897
Noam	-107.2478347	25.33409098
Noam	-107.3881807	25.98903903
Noam	-107.4349627	26.08260303
Noam	-107.7156548	26.03582103
Noam	-108.2302568	26.36329506
Noam	-107.6220908	26.83111509
Noam	-107.9495648	26.78433309
Noam	-108.6045128	27.01824311
Noam	-108.4173848	27.67319116
Noam	-108.4173848	28.14101119
Noam	-108.6512948	27.95388318
Noam	-108.7916409	27.57962715
Noam	-108.9787689	27.29893513
Noam	-109.1191149	26.73755109
Noam	-108.9787689	26.22294905
Noam	-108.4173848	25.52121899
Noam	-108.0431288	25.05339896
Noam	-108.3706028	25.33409098
Noam	-109.2126789	25.661565
Noam	-109.3530249	26.22294905
Noam	-109.5869349	26.26973105
Noam	-110.475793	24.58557892
Noam	-110.288665	22.9949908
Noam	-116.8381455	25.661565
NT	-53.93974161	-55.13095524
NT	-72.65254306	-56.25372333
NT	-91.55247252	-40.81566213
NT	-96.69849292	8.960389712
NT	-110.124928	22.90142679
NT	-110.312056	23.41602883
NT	-110.358838	23.97741287
NT	-110.312056	24.3048869
NT	-110.358838	24.58557892
NT	-109.4699799	26.26973105
NT	-109.3296339	25.661565
NT	-109.0489419	25.614783
NT	-108.7682498	25.52121899
NT	-108.4875578	25.38087298
NT	-108.3472118	25.19374497
NT	-108.0197378	25.00661695
NT	-107.9729558	24.95983495
NT	-108.0197378	25.28730897
NT	-108.8618139	25.94225702
NT	-109.0489419	26.55042307
NT	-109.2828519	27.06502511
NT	-108.9085959	27.76675516
NT	-108.5343398	28.1877932
NT	-108.2068658	27.71997316
NT	-108.2536478	27.25215312
NT	-107.5519178	27.01824311
NT	-107.5051358	26.41007706
NT	-107.1776617	25.98903903
NT	-107.3180077	25.614783
NT	-106.8034057	25.05339896
NT	-106.2420217	24.81948894
NT	-105.9613296	24.3516689
NT	-105.9613296	23.83706686
NT	-105.7742016	23.41602883
NT	-105.4467276	23.13533681
NT	-104.8385615	23.13533681
NT	-104.5578695	23.32246482
NT	-104.2303955	23.0885548
NT	-104.0432675	22.90142679
NT	-103.8093575	22.57395276
NT	-103.4351014	21.82544071
NT	-103.4351014	21.45118468
NT	-103.7625755	21.17049266
NT	-102.8269354	21.49796668
NT	-102.1252053	21.26405666
NT	-101.8445133	21.96578672
NT	-101.2363473	21.59153069
NT	-101.1427833	22.29326074
NT	-100.7217452	21.40440267
NT	-100.7217452	20.98336464
NT	-100.1603612	21.12371065
NT	-99.87966916	21.54474868
NT	-99.87966916	20.74945462
NT	-100.0200152	20.4687626
NT	-99.36506712	20.4219806
NT	-99.1311571	19.72025054
NT	-99.0375931	19.34599451
NT	-98.42942705	19.72025054
NT	-98.42942705	20.5155446
NT	-99.1311571	21.03014664
NT	-99.59897714	21.35762067
NT	-99.41184913	21.96578672
NT	-99.36506712	22.57395276
NT	-99.55219514	22.90142679
NT	-99.27150312	22.94820879
NT	-99.17793911	23.50959284
NT	-99.22472111	23.93063087
NT	-98.85046508	24.21132289
NT	-98.28908104	24.3516689
NT	-97.91482501	24.02419488
NT	-82.00894378	26.50364107
NT	-81.58790575	26.45685906
NT	-81.35399573	26.36329506
NT	-80.9797397	26.36329506
NT	-80.9329577	26.45685906
NT	-81.12008571	26.73755109
NT	-81.12008571	27.01824311
NT	-80.9797397	27.06502511
NT	-80.79261169	27.11180711
NT	-80.65226568	27.11180711
NT	-80.32479165	26.83111509
NT	-80.18444564	26.73755109
NT	-79.99731763	26.64398708
NT	-76.67579537	27.34571713
NT	-55.0157277	18.12966242
NT	-27.27399955	-3.577187257
NT	-53.93974161	-55.13095524
OC	-72.88645308	-61.70382675
OC	-180	-75.48112681
OC	-180	35.57934977
OC	-160.1348898	37.07637388
OC	-140.4396663	49.35664983
OC	-110.124928	4.820182392
OC	-87.85669423	-57.2127544
OC	-50.43109134	-55.34147426
OC	146.4275799	-51.78604198
OC	161.397821	-23.90396783
OC	165.7017654	-26.33663201
OC	173.4176832	-26.22946649
OC	178.5444955	-13.11199216
OC	152.3370532	10.32824975
OC	131.844085	5.886742286
OC	140.3555084	21.04468309
OC	179.9744178	49.40933711
OC	180	-26.24306801
OC	161.7720771	-32.32472848
OC	155.0354685	-42.61676927
OC	154.0998285	-61.51669873
OC	-35.83510621	-57.2127544
OC	-72.88645308	-61.70382675
PA	-16.09306829	17.63686176
PA	-31.15692872	60.8635917
PA	-27.0400973	67.60022493
PA	-15.81237524	71.34279895
PA	-9.824256804	87.06160984
PA	-152.2761066	88.07416136
PA	-173.0004841	88.2779464
PA	-180	72.41499093
PA	-179.6142953	54.54191851
PA	-178.1228004	64.06304881
PA	-172.847925	63.49613736
PA	-167.9493189	67.85351509
PA	-176.6322249	73.5783097
PA	-175.6860568	79.61828308
PA	-169.0239211	87.96436155
PA	-0.467821753	88.55863945
PA	179.5499886	84.06755062
PA	179.924246	58.24378988
PA	137.9138527	29.70666298
PA	134.2358715	29.64213699
PA	132.5087519	30.82816874
PA	129.7957124	31.13759211
PA	126.9893536	29.5150051
PA	121.9143487	29.42596992
PA	121.446527	29.89379168
PA	119.9494974	29.70666298
PA	116.4876164	27.46111856
PA	115.9262303	27.83537597
PA	115.4584085	26.99329681
PA	114.4292007	26.71260376
PA	114.3356363	27.74181162
PA	114.242072	27.83537597
PA	115.3648442	28.86458382
PA	114.8970224	29.33240557
PA	113.5871215	28.58389077
PA	113.3999928	26.89973246
PA	112.4643493	26.99329681
PA	111.9965276	28.49032642
PA	109.9381118	27.83537597
PA	110.0316762	27.27398986
PA	109.7509831	25.87052461
PA	108.6282109	25.87052461
PA	107.8796961	25.21557415
PA	106.1955378	25.02844545
PA	106.6633596	24.09280195
PA	106.0084091	23.34428714
PA	105.0727656	23.53141584
PA	104.1371221	23.15715844
PA	102.2658351	23.53141584
PA	100.9559342	24.65418805
PA	100.0202907	24.7477524
PA	99.17821154	25.96408896
PA	99.36534024	26.80616811
PA	98.99108284	26.89973246
PA	98.71038979	25.1220098
PA	98.42969674	26.99329681
PA	97.77474628	27.74181162
PA	96.37128103	28.30319772
PA	95.15494447	28.67745512
PA	92.2544496	27.74181162
PA	87.66979643	27.64824727
PA	83.1787076	28.77101947
PA	80.74603449	29.42596992
PA	78.50049008	30.54874213
PA	77.09702482	31.95220739
PA	76.44207437	33.16854395
PA	75.59999521	34.0106231
PA	73.3544508	34.7591379
PA	72.88662905	35.32052401
PA	71.85742119	34.85270225
PA	73.1673221	33.6363657
PA	74.75791606	31.95220739
PA	73.5415795	32.32646479
PA	71.85742119	32.98141524
PA	71.10890639	33.16854395
PA	70.45395593	32.70072219
PA	70.36039158	31.76507869
PA	70.64108464	30.17448473
PA	69.70544113	28.77101947
PA	68.67623327	28.67745512
PA	68.11484717	29.42596992
PA	67.45989672	28.95814817
PA	67.55346107	26.61903941
PA	68.11484717	25.21557415
PA	65.68217406	25.1220098
PA	58.19702602	25.21557415
PA	56.98068946	26.43191071
PA	55.10940245	26.52547506
PA	53.89306589	24.27993065
PA	55.85791725	24.9348811
PA	55.95148161	23.53141584
PA	56.13861511	22.40864192
PA	57.167824	22.03438761
PA	59.60049128	21.94082188
PA	58.10346167	20.53735663
PA	56.88712511	19.41458442
PA	56.23217466	18.85319832
PA	56.04504596	18.38537656
PA	55.10940245	18.01111916
PA	54.92227375	17.44973306
PA	53.79950154	17.16904001
PA	52.48960064	16.88834696
PA	50.33762057	16.0462678
PA	46.3143535	14.73636689
PA	44.91088824	15.39131735
PA	44.72375954	16.79478261
PA	44.63019519	18.47894092
PA	43.69455169	18.75963397
PA	42.94603688	19.41458442
PA	42.19752208	21.09874273
PA	40.70049247	22.50220799
PA	38.26781936	25.02844545
PA	38.17425501	24.5606237
PA	39.39059156	23.34428714
PA	39.01633416	22.12795058
PA	37.0514828	19.88240617
PA	35.83514625	19.13389137
PA	34.15098794	17.63686176
PA	30.96980002	17.35616871
PA	27.227226	15.20418865
PA	25.16881029	16.2333965
PA	23.95247373	17.73042611
PA	21.89405802	17.73042611
PA	21.51980062	16.70121826
PA	16.93514744	15.39131735
PA	10.66633596	15.57844605
PA	10.10494986	16.79478261
PA	6.736633237	17.82399046
PA	5.800989732	16.70121826
PA	2.151980062	18.57250527
PA	-7.39158369	16.88834696
PA	-12.81831602	19.88240617
PA	-16.09306829	17.63686176
