"identifier"	"XCOOR"	"YCOOR"
"17715"	"Guettarda speciosa L."	177.08333	-12.5
"24497"	"Neisosperma oppositifolia (Lam.) Fosberg & Sachet"	154.97139	3.84389
"27558"	"Oldenlandia biflora L."	153.68833	5.30429
"27704"	"Ixora casei Hance"	147	8
"27782"	"Morinda boninensis Ohwi"	142.21666	27.08333
"27818"	"Ophiorrhiza japonica Blume"	127.65944	22.43666
"27987"	"Spermacoce tenuior L."	-64.735	32.31527
"38800"	"Neisosperma nakaiana (Koidz.) Fosberg & Sachet"	142.16667	27
"39459"	"Ochrosia ackeringae Miq."	105.6	-10.4
"39691"	"Oldenlandia galioides (F.Muell.) F.Muell."	96.8	-12.2
"40790"	"Paederia foetida L."	105.6	-10.4
"57920"	"Thunbergia Montin, 1773"	98.83	25.65
"67404"	"Galium L."	-28.473	38.5048
"67405"	"Galium L."	-27.9212	38.6193
"75923"	"Coprosma acutifolia Hook.f."	177.91691	-29.24811
"85625"	"Exostema nitens Urb."	-18.5962	70.6652
"85847"	"Gardenia taitensis DC."	177.08	-12.4953
"85855"	"Geniostoma uninervium A.C.Sm. & Stone"	177.08	-12.4953
"85856"	"Geniostoma uninervium A.C.Sm. & Stone"	177.08	-12.4953
"85927"	"Geophila repens (L.) I.M.Johnst."	77.5943	-1.0612
"86021"	"Hoya australis R. Br. ex J. Traill"	177.08	-12.4953
"86231"	"Spermacoce exilis (L.O.Williams) C.D.Adams ex W.C.Burger & C.M.Taylo"	154.97139	3.84389
"95121"	"Tylophora R. Brown, 1810"	177.08333	-12.5
"96254"	"Fagraea ceilanica Thunb."	119.90635	1.45237
"96255"	"Fagraea ceilanica Thunb."	119.90635	1.45237
"98477"	"Geniostoma J.R. Forst. & G. Forst."	119.90635	1.45237
"98478"	"Geniostoma J.R. Forst. & G. Forst."	119.90635	1.45237
"100181"	"Alstonia Scopoli, 1777"	119.90635	1.45237
"100182"	"Alstonia Scopoli, 1777"	119.90635	1.45237
"138377"	"Eustoma exaltatum (L.) Salisb. ex G. Don"	-99.4	22.58
"149466"	"Galium mexicanum Kunth"	-110.97	18.79
"155098"	"Tabernaemontana alba Mill."	-99.41	22.58
"165583"	"Geniostoma glabrum Matsum."	142.15828	26.65881
"165584"	"Geniostoma glabrum Matsum."	142.15828	26.65881
"165678"	"Neisosperma nakaiana (Koidz.) Fosberg & Sachet"	142.21321	27.0764
"165679"	"Neisosperma nakaiana (Koidz.) Fosberg & Sachet"	142.15828	26.65881
"165680"	"Neisosperma nakaiana (Koidz.) Fosberg & Sachet"	142.15828	26.65881
"165695"	"Trachelospermum asiaticum Nakai"	142.15828	26.65881
"165696"	"Trachelospermum asiaticum Nakai"	142.15828	26.65881
"165699"	"Trachelospermum asiaticum Nakai"	142.21321	27.0764
"165700"	"Trachelospermum asiaticum Nakai"	142.15519	26.66955
"165701"	"Trachelospermum asiaticum Nakai"	142.21321	27.0764
"165702"	"Trachelospermum asiaticum Nakai"	142.21321	27.0764
