"identifier"	"AA"	"AN"	"AT"	"IM"	"Noam"	"NT"	"OC"	"PA"
"1"	"Absolmsia spartiodes Kuntze"	0	0	0	1	0	0	0	0
"2"	"Acerates Elliott"	0	0	0	0	8	0	0	0
"3"	"Acokanthera G.Don"	0	0	4	0	0	0	0	0
"4"	"Acokanthera oblongifolia (Hochst.) Codd"	0	0	7	0	0	0	0	6
"5"	"Acokanthera oppositifolia (Lam.) Codd"	0	0	97	0	0	0	0	0
"6"	"Acokanthera rotundata (Codd) Kupicha"	0	0	23	0	0	0	0	0
"7"	"Acokanthera schimperi Oliv."	0	0	50	0	0	0	4	0
"8"	"Acokanthera spectabilis Hook.f."	0	0	0	0	0	0	0	3
"9"	"Acokanthera venenata G.Don"	0	0	0	0	0	0	0	3
"10"	"Acranthera Arn. ex Meisn."	0	0	0	22	0	0	0	0
"11"	"Acranthera frutescens Valeton"	0	0	0	1	0	0	0	0
"12"	"Acranthera involucrata Valeton"	0	0	0	1	0	0	0	0
"13"	"Acranthera velutinervia Bremek."	0	0	0	1	0	0	0	0
"14"	"Acrosynanthus jamaicensis Howard & Proctor"	0	0	0	0	0	1	0	0
"15"	"Acrosynanthus latifolius Standl."	0	0	0	0	0	4	0	0
"16"	"Acrosynanthus parvifolius Britton ex Standl."	0	0	0	0	0	1	0	0
"17"	"Acrosynanthus revolutus Urb."	0	0	0	0	0	2	0	0
"18"	"Adenium boehmianum Schinz"	0	0	2	0	0	0	0	0
"19"	"Adenium multiflorum Klotzsch"	0	0	3	0	0	0	0	0
"20"	"Adenium obesum (Forssk.) Roem. & Schult."	0	0	43	0	0	0	1	0
"21"	"Adenium oleifolium Stapf"	0	0	23	0	0	0	0	0
"22"	"Adenium Roem. & Schult."	0	0	2	0	0	0	0	0
"23"	"Adenium somalense Balf. f."	0	0	2	0	0	0	0	0
"24"	"Adenium swazicum Stapf"	0	0	13	0	0	0	0	0
"25"	"Adenolisianthus arboreus Gilg"	0	0	0	0	0	13	0	0
"26"	"Adenorandia kalbreyeri (Hiern) Robbr. & Bridson"	0	0	9	0	0	0	0	0
"27"	"Adenosacme longifolia Wall."	0	0	0	1	0	0	0	0
"28"	"Adina cordifolia (Roxb.) Benth. & Hook.f. ex B.D.Jacks."	0	0	0	1	0	0	0	0
"29"	"Adina microcephala (Delile) Hiern"	0	0	6	0	0	0	0	0
"30"	"Adina pilulifera (Lam.) Franch. ex Drake"	0	0	0	4	0	0	0	3
"31"	"Adina polycephala Benth."	0	0	0	1	0	0	0	0
"32"	"Adina racemosa (Siebold & Zucc.) Miq."	0	0	0	20	0	0	0	0
"33"	"Adina rubella Hance"	0	0	0	8	0	0	0	6
"34"	"Adina Salisb."	0	0	3	6	0	0	0	0
"35"	"Afrocanthium gilfillanii (N.E.Br.) Lantz"	0	0	30	0	0	0	0	0
"36"	"Afrocanthium lactescens (Hiern) Lantz"	0	0	34	0	0	0	0	0
"37"	"Afrocanthium mundianum (Cham. & Schltdl.) Lantz"	0	0	1	0	0	0	0	0
"38"	"Aganosma cymosa G.Don"	0	0	0	2	0	0	0	0
"39"	"Aganosma G.Don"	0	0	0	2	0	0	0	0
"40"	"Aganosma marginata G.Don"	0	0	0	10	0	0	0	0
"41"	"Aganosma wallichii G.Don"	0	0	0	1	0	0	0	0
"42"	"Agathisanthemum bojeri Klotzsch"	0	0	25	0	0	0	0	0
"43"	"Agathisanthemum chlorophyllum (Hochst.) Bremek."	0	0	21	0	0	0	0	0
"44"	"Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch"	0	0	210	0	0	0	0	0
"45"	"Agathisanthemum Klotzsch"	0	0	4	0	0	0	0	0
"46"	"Agouticarpa curviflora (Dwyer) C.H.Perss."	0	0	0	0	0	17	0	0
"47"	"Agouticarpa hirsuta C.H.Perss."	0	0	0	0	0	1	0	0
"48"	"Agouticarpa isernii (Standl.) C.H.Perss."	0	0	0	0	0	12	0	0
"49"	"Agouticarpa velutina C.H.Perss."	0	0	0	0	0	1	0	0
"50"	"Agouticarpa williamsii (Standl.) C.H.Perss."	0	0	0	0	0	4	0	0
"51"	"Aidia acuminata (Blume) K.M.Wong"	1	0	0	1	0	0	0	0
"52"	"Aidia auriculata (Wall.) Ridsdale"	0	0	0	2	0	0	0	0
"53"	"Aidia borneensis Ridsdale"	0	0	0	6	0	0	0	0
"54"	"Aidia bracteata Ridsdale"	3	0	0	0	0	0	0	0
"55"	"Aidia cochinchinensis Lour."	2	0	0	3	0	0	0	1
"56"	"Aidia congestum (Schltr. & E.H.L.Krause) Ridsdale"	1	0	0	0	0	0	0	0
"57"	"Aidia cowleyi Puttock"	1	0	0	0	0	0	0	0
"58"	"Aidia densiflora (Wall.) Masam."	0	0	0	37	0	0	0	0
"59"	"Aidia genipiflora (DC.) Dandy"	0	0	132	0	0	0	0	0
"60"	"Aidia graeffei (Reinecke) Tirveng."	0	0	0	0	0	0	1	0
"61"	"Aidia henryi (E.Pritz.) T.Yamaz."	0	0	0	0	0	0	0	1
"62"	"Aidia heterophylla Ridsdale"	1	0	0	0	0	0	0	0
"63"	"Aidia jambosoides (Valeton) Ridsdale"	0	0	0	1	0	0	0	0
"64"	"Aidia lancifolia K.M.Wong"	0	0	0	1	0	0	0	0
"65"	"Aidia Lour."	7	0	53	5	0	0	0	0
"66"	"Aidia micrantha (K.Schum.) Bullock ex F.White"	0	0	398	0	0	0	0	0
"67"	"Aidia micrantha var. acarophyta"	0	0	34	0	0	0	0	0
"68"	"Aidia micrantha var. congolana"	0	0	185	0	0	0	0	0
"69"	"Aidia micrantha var. micrantha"	0	0	33	0	0	0	0	0
"70"	"Aidia micrantha var. msonju"	0	0	13	0	0	0	0	0
"71"	"Aidia micrantha var. zenkeri"	0	0	45	0	0	0	0	0
"72"	"Aidia ochroleuca (K.Schum.) E.M.A.Petit"	0	0	72	0	0	0	0	0
"73"	"Aidia paiei Ridsdale"	0	0	0	1	0	0	0	0
"74"	"Aidia polystachya (Valeton) Ridsdale"	1	0	0	0	0	0	0	0
"75"	"Aidia quintasii (K.Schum.) G.Taylor"	0	0	10	0	0	0	0	0
"76"	"Aidia racemosa (Cav.) Tirveng."	192	0	0	3	0	0	0	0
"77"	"Aidia rhacodosepala (K.Schum.) E.M.A.Petit"	0	0	38	0	0	0	0	0
"78"	"Aidia rubens (Hiern) G.Taylor"	0	0	61	0	0	0	0	0
"79"	"Aidia wallichiana Tirveng."	1	0	0	2	0	0	0	0
"80"	"Airosperma K.Schum. & Lauterb."	3	0	0	0	0	0	0	0
"81"	"Airosperma psychotrioides K.Schum. & Lauterb."	2	0	0	0	0	0	0	0
"82"	"Alafia alba Pichon"	0	0	4	0	0	0	0	0
"83"	"Alafia barteri Oliv."	0	0	216	0	0	0	0	0
"84"	"Alafia benthamii Stapf"	0	0	31	0	0	0	0	0
"85"	"Alafia calophylla Pichon"	0	0	1	0	0	0	0	0
"86"	"Alafia caudata Stapf"	0	0	27	0	0	0	0	0
"87"	"Alafia caudata subsp. latiloba Kupicha"	0	0	5	0	0	0	0	0
"88"	"Alafia Du Petit-Thouars, 1806"	0	0	27	0	0	0	0	0
"89"	"Alafia erythrophthalma (K.Schum.) Leeuwenb."	0	0	57	0	0	0	0	0
"90"	"Alafia falcata Leeuwenb."	0	0	12	0	0	0	0	0
"91"	"Alafia fuscata Pichon"	0	0	2	0	0	0	0	0
"92"	"Alafia grandis Stapf"	0	0	2	0	0	0	0	0
"93"	"Alafia landolphioides Benth. & Hook.f."	0	0	51	0	0	0	0	0
"94"	"Alafia lucida Stapf"	0	0	181	0	0	0	0	0
"95"	"Alafia microstylis K.Schum."	0	0	2	0	0	0	0	0
"96"	"Alafia multiflora Stapf"	0	0	72	0	0	0	0	0
"97"	"Alafia nigrescens Pichon"	0	0	4	0	0	0	0	0
"98"	"Alafia parciflora Stapf"	0	0	3	0	0	0	0	0
"99"	"Alafia pauciflora Radlk."	0	0	11	0	0	0	0	0
"100"	"Alafia perrieri Jum."	0	0	43	0	0	0	0	0
"101"	"Alafia scandens (Thonn.) De Wild."	0	0	6	0	0	0	0	0
"102"	"Alafia schumannii Stapf"	0	0	38	0	0	0	0	0
"103"	"Alafia thouarsii Roem. & Schult."	0	0	64	0	0	0	0	0
"104"	"Alafia velutina Leeuwenb."	0	0	2	0	0	0	0	0
"105"	"Alafia whytei Stapf"	0	0	22	0	0	0	0	0
"106"	"Alafia zambesiaca Kupicha"	0	0	2	0	0	0	0	0
"107"	"Alberta E.Mey."	0	0	5	0	0	0	0	0
"108"	"Alberta humblotii Drake"	0	0	1	0	0	0	0	0
"109"	"Alberta magna E.Mey."	0	0	18	0	0	0	0	0
"110"	"Alberta minor Baill."	0	0	3	0	0	0	0	0
"111"	"Alberta sambiranensis Homolle ex Cavaco"	0	0	1	0	0	0	0	0
"112"	"Alibertia A. Richard ex A.P. de Candolle, 1830"	0	0	0	0	0	122	0	0
"113"	"Alibertia acuminata (Benth.) Sandwith"	0	0	0	0	0	10	0	0
"114"	"Alibertia amplexicaulis S.Moore"	0	0	0	0	0	1	0	0
"115"	"Alibertia bertierifolia K.Schum."	0	0	0	0	0	4	0	0
"116"	"Alibertia claviflora K.Schum."	0	0	0	0	0	1	0	0
"117"	"Alibertia concolor (Cham.) K.Schum."	0	0	0	0	0	48	0	0
"118"	"Alibertia curviflora K.Schum."	0	0	0	0	0	5	0	0
"119"	"Alibertia edulis (Rich.) A.Rich. ex DC."	0	0	0	0	0	293	1	0
"120"	"Alibertia edulis var. edulis"	0	0	0	0	0	35	0	0
"121"	"Alibertia edulis var. obtusiuscula"	0	0	0	0	0	2	0	0
"122"	"Alibertia elliptica (Cham.) K.Schum."	0	0	0	0	0	14	0	0
"123"	"Alibertia garapatica K.Schum."	0	0	0	0	0	20	0	0
"124"	"Alibertia hadrantha Standl."	0	0	0	0	0	1	0	0
"125"	"Alibertia hispida Ducke"	0	0	0	0	0	1	0	0
"126"	"Alibertia humilis K.Schum."	0	0	0	0	0	3	0	0
"127"	"Alibertia isernii (Standl.) D.R.Simpson"	0	0	0	0	0	2	0	0
"128"	"Alibertia latifolia (Benth.) K.Schum."	0	0	0	0	0	23	0	0
"129"	"Alibertia macrophylla K.Schum."	0	0	0	0	0	8	0	0
"130"	"Alibertia myrciifolia K.Schum."	0	0	0	0	0	36	0	0
"131"	"Alibertia obtusa K.Schum."	0	0	0	0	0	10	0	0
"132"	"Alibertia pilosa K.Krause"	0	0	0	0	0	8	0	0
"133"	"Alibertia premontana C.M.Taylor"	0	0	0	0	0	21	0	0
"134"	"Alibertia rigida K.Schum."	0	0	0	0	0	14	0	0
"135"	"Alibertia rotunda (Cham.) K.Schum."	0	0	0	0	0	6	0	0
"136"	"Alibertia sessilis (Vell.) K.Schum."	0	0	0	0	0	33	0	0
"137"	"Alibertia sorbilis Huber ex Ducke"	0	0	0	0	0	7	0	0
"138"	"Alibertia stenantha Standl."	0	0	0	0	0	12	0	0
"139"	"Alibertia surinamensis (Bremek.) Steyerm."	0	0	0	0	0	25	0	0
"140"	"Alibertia triflora (A.Rich. ex DC.) K.Schum."	0	0	0	0	0	3	0	0
"141"	"Alibertia utleyorum (Dwyer) C.M.Taylor"	0	0	0	0	0	21	0	0
"142"	"Alibertia vaccinioides K.Schum."	0	0	0	0	0	1	0	0
"143"	"Alibertia verrucosa S.Moore"	0	0	0	0	0	3	0	0
"144"	"Allamanda angustifolia Pohl"	0	0	0	0	0	4	0	0
"145"	"Allamanda blanchetii A. DC."	0	0	6	2	0	2	1	0
"146"	"Allamanda cathartica L."	12	0	32	5	1	148	1	1
"147"	"Allamanda cathartica var. hendersonii L.H.Bailey & Raffill"	0	0	0	0	0	0	1	0
"148"	"Allamanda L."	0	0	2	0	0	6	0	0
"149"	"Allamanda martii M??ll.Arg."	0	0	0	0	0	1	0	0
"150"	"Allamanda neriifolia Hook."	0	0	0	1	0	0	0	0
"151"	"Allamanda oenotherifolia Pohl"	0	0	0	0	0	0	1	0
"152"	"Allamanda puberula A.DC."	0	0	0	0	0	3	0	0
"153"	"Allamanda schottii Pohl"	0	0	34	0	0	2	1	0
"154"	"Allamanda violacea Gardn. & Field."	0	0	4	0	0	0	0	0
"155"	"Allenanthus erythrocarpus Standl."	0	0	0	0	0	38	0	0
"156"	"Allenanthus hondurensis Standl."	0	0	0	0	0	4	0	0
"157"	"Allenanthus hondurensis var. parvifolia"	0	0	0	0	1	0	0	0
"158"	"Allomarkgrafia brenesiana Woodson"	0	0	0	0	0	55	0	0
"159"	"Allomarkgrafia foreroi A.H.Gentry"	0	0	0	0	0	2	0	0
"160"	"Allomarkgrafia insignis J.F.Morales"	0	0	0	0	0	1	0	0
"161"	"Allomarkgrafia plumeriiflora Woodson"	0	0	0	0	0	81	0	0
"162"	"Allomarkgrafia Woodson"	0	0	0	0	0	6	0	0
