datapoints	polygons	polygonedges	species	graphs	seconds
10	10	5	1	no	0.166
10	100	5	1	no	0.451
10	1000	5	1	no	1.802
10	10000	5	1	no	48.295
10	100000	5	1	no	4528.416
100	10	5	1	no	0.371
100	100	5	1	no	0.698
100	1000	5	1	no	7.856
100	10000	5	1	no	440.57
100	100000	5	1	no	41569.703
1000	10	5	1	no	1.029
1000	100	5	1	no	4.232
1000	1000	5	1	no	76.068
1000	10000	5	1	no	4349.109
1000	100000	5	1	no	469489.606
10000	10	5	1	no	7.537
10000	100	5	1	no	44.696
10000	1000	5	1	no	788.012
10000	10000	5	1	no	45215.436
10000	100000	5	1	no	NA
100000	10	5	1	no	38.316
100000	100	5	1	no	394.648
100000	1000	5	1	no	7763.429
100000	10000	5	1	no	432377.949
100000	100000	5	1	no	NA
1000000	10	5	1	no	769.78
1000000	100	5	1	no	4613.212
1000000	1000	5	1	no	79659.084
1000000	10000	5	1	no	NA
1000000	100000	5	1	no	NA
10000000	10	5	1	no	10568.586
10000000	100	5	1	no	43546.979
10000000	1000	5	1	no	766936.908
10000000	10000	5	1	no	NA
10000000	100000	5	1	no	NA
100000000	10	5	1	no	75227.596
100000000	100	5	1	no	401753.363
100000000	1000	5	1	no	NA
100000000	10000	5	1	no	NA
100000000	100000	5	1	no	NA
10	1	4	1	no	0.177
10	1	40	1	no	0.319
10	1	400	1	no	0.407
10	1	4000	1	no	0.546
10	1	40000	1	no	1.863
10	1	400000	1	no	15.212
100	1	4	1	no	0.336
100	1	40	1	no	0.367
100	1	400	1	no	0.467
100	1	4000	1	no	1.702
100	1	40000	1	no	15.158
100	1	400000	1	no	150.47
1000	1	4	1	no	0.736
1000	1	40	1	no	0.829
1000	1	400	1	no	2.076
1000	1	4000	1	no	14.666
1000	1	40000	1	no	140.842
1000	1	400000	1	no	1427.282
10000	1	4	1	no	4.025
10000	1	40	1	no	5.779
10000	1	400	1	no	18.376
10000	1	4000	1	no	147.772
10000	1	40000	1	no	1428.174
10000	1	400000	1	no	15358.314
100000	1	4	1	no	38.068
100000	1	40	1	no	50.694
100000	1	400	1	no	178.441
100000	1	4000	1	no	1431.057
100000	1	40000	1	no	14510.307
100000	1	400000	1	no	139429.92
1000000	1	4	1	no	442.474
1000000	1	40	1	no	616.247
1000000	1	400	1	no	1925.535
1000000	1	4000	1	no	17545.705
1000000	1	40000	1	no	137429.155
1000000	1	400000	1	no	NA
10000000	1	4	1	no	4208.139
10000000	1	40	1	no	7251.617
10000000	1	400	1	no	22517.027
10000000	1	4000	1	no	163261.305
10000000	1	40000	1	no	NA
10000000	1	400000	1	no	NA
100000000	1	4	1	no	37351.301
100000000	1	40	1	no	49154.361
100000000	1	400	1	no	187057.045
100000000	1	4000	1	no	NA
100000000	1	40000	1	no	NA
100000000	1	400000	1	no	NA
