Data Publisher	Dataset	Dataset Rights	Scientific name	Scientific name (interpreted)	Latitude	Longitude	GBIF portal url	
National Museum of Nature and Science, Japan	Plant specimens depodited in Osaka Museum of Natural History, Japan.		Cynanchum caudatum (Miq.) Maxim.	Cynanchum caudatum (Miq.) Maxim.			http://data.gbif.org/occurrences/295123853
National Museum of Nature and Science, Japan	Plant specimens depodited in Osaka Museum of Natural History, Japan.		Cynanchum magnificum Nakai	Cynanchum magnificum Nakai			http://data.gbif.org/occurrences/295123992
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Neisosperma oppositifolia Fosberg & Sachet	Neisosperma oppositifolia Fosberg & Sachet			http://data.gbif.org/occurrences/297270945
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Ochrosia oppositifolia (Lam.) K.Schum.	Ochrosia oppositifolia (Lam.) K.Schum.			http://data.gbif.org/occurrences/297359015
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Odontadenia neglecta Woodson	Odontadenia neglecta Woodson			http://data.gbif.org/occurrences/297385158
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Odontadenia puncticulosa (Rich.) Pulle	Odontadenia puncticulosa (Rich.) Pulle			http://data.gbif.org/occurrences/297385301
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Orthopichonia barteri (Stapf) H.Huber	Orthopichonia barteri (Stapf) H.Huber			http://data.gbif.org/occurrences/297528900
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Pleiocarpa bicarpellata Stapf	Pleiocarpa bicarpellata Stapf			http://data.gbif.org/occurrences/298456931
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Pleiocarpa pycnantha (K.Schum.) Stapf	Pleiocarpa pycnantha (K.Schum.) Stapf			http://data.gbif.org/occurrences/298458812
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Rauvolfia mannii Stapf	Rauvolfia mannii Stapf			http://data.gbif.org/occurrences/298910263
Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands	Nationaal Herbarium Nederland		Spongiosperma riparium (Monach.) Zarucchi	Spongiosperma riparium (Monach.) Zarucchi			http://data.gbif.org/occurrences/299258030
Staatliche Naturwissenschaftliche Sammlungen Bayerns	The Fungal Collection at the Senckenberg Museum für Naturkunde Görlitz	© Senckenberg Museum für Naturkunde Görlitz	Plumeria obtusa L.	Plumeria obtusa L.			http://data.gbif.org/occurrences/317242523
Missouri Botanical Garden	Missouri Botanical Garden		Alyxia Banks ex R. Br.	Alyxia Banks ex R. Br.			http://data.gbif.org/occurrences/318938036
Missouri Botanical Garden	Missouri Botanical Garden		Amsonia kearneyana Woodson	Amsonia kearneyana Woodson			http://data.gbif.org/occurrences/318957068
Missouri Botanical Garden	Missouri Botanical Garden		Amsonia illustris Woodson	Amsonia illustris Woodson			http://data.gbif.org/occurrences/318957196
Missouri Botanical Garden	Missouri Botanical Garden		Amsonia tabernaemontana Walter	Amsonia tabernaemontana Walter			http://data.gbif.org/occurrences/318957734
Missouri Botanical Garden	Missouri Botanical Garden		Apocynaceae Juss.	Apocynaceae Juss.			http://data.gbif.org/occurrences/319069334
Missouri Botanical Garden	Missouri Botanical Garden		Apocynaceae Juss.	Apocynaceae Juss.			http://data.gbif.org/occurrences/319071680
Missouri Botanical Garden	Missouri Botanical Garden		Apocynum cannabinum L.	Apocynum cannabinum L.			http://data.gbif.org/occurrences/319072090
Missouri Botanical Garden	Missouri Botanical Garden		Apocynum cannabinum L.	Apocynum cannabinum L.			http://data.gbif.org/occurrences/319072218
Missouri Botanical Garden	Missouri Botanical Garden		Apocynum androsaemifolium L.	Apocynum androsaemifolium L.			http://data.gbif.org/occurrences/319072489
Missouri Botanical Garden	Missouri Botanical Garden		Apocynum cannabinum L.	Apocynum cannabinum L.			http://data.gbif.org/occurrences/319072628
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias curassavica L.	Asclepias curassavica L.			http://data.gbif.org/occurrences/319121983
Missouri Botanical Garden	Missouri Botanical Garden		Asclepias curassavica L.	Asclepias curassavica L.			http://data.gbif.org/occurrences/319123520
